id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothing,Eyes,Head,Mouth
2493,0.25,3641,63.01,https://magiceden.io/item-details/A48izeKkHQyKWAmoRBX21dhSwcSaG5jSYRySsKh3ZzvL,Purple,baseCub,WAGMI Shirt,Brown,Penguin Hat,Happy
2503,0.4545,3587,61.5,https://magiceden.io/item-details/5pEpkWPKpR6XvNitFnJu8naeCSgWL9Jfp8bMYxV3MPkf,Purple,baseCub,Coconut Bra,Squinting,Green Beret,Happy
2517,0.4890123,1757,79.49,https://magiceden.io/item-details/5PLyjYM42tX9CH34VE2LCfKh4eZW3ZxVnhVcmkKbgyLD,Red,baseCub,Red Polo,Derpy,Duck Hat,Happy
2573,0.4,2452,73.42,https://magiceden.io/item-details/H1QGfZ23HZsPrGuDKXhbExuuS59JH14yvTVZt6DvqexA,Pink,baseCub,Coconut Bra,Monocle,Duck Hat,Smirk
2583,0.22,3089,68.84,https://magiceden.io/item-details/CUBPce3io1LgtH11Egt2YUTPE5YE2KWS7LTEs29z7bN9,Blue,baseCub,WAGMI Shirt,Black Retro Sunglasses,Cowboy Hat,Frown
2600,0.2,1587,84.09,https://magiceden.io/item-details/AV5jWYwaikgZAivjJsgxmqmDGNjsQwPgRfp3gEtHHY4c,Yellow,baseCub,Cowboy Coat,Grumpy,Green Beret,Scared
2602,0.21,3665,63.17,https://magiceden.io/item-details/HCHN7aZwcsnmiMhN9KiiFjPNjRs5hMueojB8SVVc9LXi,Purple,baseCub,Red Polo,Black Retro Sunglasses,Green Beret,Happy
2604,0.35,2380,74.64,https://magiceden.io/item-details/6z23F95MDkhwaELuuS7Y1bEPKGsFDq7ViFgXyfVbqJNa,Pink,baseCub,Water Kimono,Hero Mask,Cowboy Hat,Happy
2608,0.35,1643,82.03,https://magiceden.io/item-details/G9Ct6hzfCq6Cf2B6GDHw36hsWiiYnPLwvaSztWEvQYnu,Green,baseCub,Pink Apron,Eye Patch,Halo,Mean Mug
2752,0.199,2106,78.9,https://magiceden.io/item-details/Ga9HNDJgdxg3qax7Pvt8NfZ5Ra8HEvfrghCJxLfDvFcY,Purple,baseCub,Hawaiian Shirt,Drippy Sunglasses,Winter Hat,Drooling
2756,0.45,3458,62.84,https://magiceden.io/item-details/HKgt6dUPYEYLVXzbEHi81MJuqLSqaeW9p6UNwRj8DTV9,Blue,baseCub,Pink Camo Jacket,Brown,Top Hat,Whistle
2761,0.28,2147,77.68,https://magiceden.io/item-details/FBMnBZXusMrGRrPha3qHoMaXJxBgf6u3eCcXZcqDygQD,Pink,baseCub,Red Polo,Shades,Rainbow Headband,Smirk
2801,0.6,2124,74.71,https://alpha.art/t/B35goBbbZNZGZn5SCGvWN13NJ9DySpKju32WLE9x2zKs,Green,baseCub,Zebra Print Jacket,Shades,Top Hat,Smirk
2818,0.24,3987,59.64,https://magiceden.io/item-details/Fn8EWsVXVnJPU5jbdbN7di1exyPe5S8hhb4f4LewZ69R,Green,baseCub,Hawaiian Shirt,Mad,Bucket Hat,Happy
2819,0.2,2609,73.85,https://magiceden.io/item-details/Fh5PihefQDmXu2GVLgqkpPKAU8CZA8PWrLgb8dt6hLrM,Purple,baseCub,Water Kimono,Snow Goggles,Ninja Headband,Smirk
2825,0.26,2014,79.21,https://magiceden.io/item-details/36TSHHUVgVY2oEqbjavVA3tV8jXHCoTeZthvWtF8uB9d,Orange,baseCub,Cowboy Coat,Squinting,Bow,Mean Mug
2828,0.35,2103,77.42,https://magiceden.io/item-details/8qbcAqAYDzzJuTdyxfFviReKtPNzmPPCRajWqNbPrusM,Pink,baseCub,Skeleton Shirt,Blue,Duck Hat,Smirk
2843,0.3,2481,74.13,https://magiceden.io/item-details/4CPHNyvLLdTFFNgwgELSbDzapmsSQQ9VyNK6hG75QfQ7,Blue,baseCub,Poncho,Grumpy,Ninja Headband,Bone
2852,1.25,1894,70.51,https://alpha.art/t/3ewUBXBoLRWBjdf6R6Qsx2w4DjacwdbT2d6G9cfKjgVG,Pink,baseCub,Poncho,Blue,Ice Cube,Serious
2893,0.3,2709,71.85,https://magiceden.io/item-details/3C3yGyR189nmhxmrbKKpoLiiLn7HuzkrZT1kEUvkTrLu,Green,baseCub,Referee Shirt,Brown,Elf Hat,Happy
2898,0.3,3591,63.01,https://magiceden.io/item-details/7mmdFXYLp2e5Jq4xXmPjbR9ks5thymofnUAVYpLFNzZx,Orange,baseCub,Water Kimono,Black Retro Sunglasses,Halo,Tongue
