id,price,moonRank,💎 score (%),storeURL,Backgrounds,Backpacks,Bottoms,Headgear,Skin,Tops,Weapon,mintDate
1595,10.1,1038,89.45,https://magiceden.io/item-details/BLrQHszRVCr8gfgWRDjMEA8XRVXQxkedFpWBjKKM45vD,Red,Black Backpack,White Jeans,Teal Bandana,Remnant1,Blue Shirt,Sub Machine gun,08/01/2022 18:04:21
1602,15,2299,27.63,https://magiceden.io/item-details/9LxLgoGZDw9zLBzaBSJrAUuXBGXZDwNshoJjeYm131x2,Dark Grey,No Backpack,Grey Cargo shorts,Blue Beanie,Remnant1,Red Sport Jersey,Sword,15/01/2022 17:47:12
1618,13,2066,50,https://magiceden.io/item-details/yWxaTsx3goBrx59hUyjGFGm8ih9FqjoGVJsR8MHt4ct,Yellow,Black Backpack,Tan Cargo Shorts,Red Bandana,Remnant3,White Hoodie,Wooden Spear,15/01/2022 18:00:13
1639,13,3515,35.27,https://magiceden.io/item-details/ZwWSACzg1QFq9vn3fc6JdFnBCkYrYNsMrNxcLXngtLh,Red,No Backpack,White Pants,Yellow Sunglasses,Remnant2,Grey Hoodie,Red Flare,15/01/2022 18:00:48
1726,18,378,17.16,https://magiceden.io/item-details/AmY5nmj3X1uksJUZKnY9SzSoFUiss9Qw31hiwYQdz9Fv,Red,Brown Backpack,Black Cargo Shorts,Medeival Helmet,Remnant1,Blue Hawaiian Shirt,Torch,15/01/2022 17:46:55
1755,13,2031,50.35,https://magiceden.io/item-details/5WR2Ju4CX8dcE3TiW8JJ8gEGeuQTQHM769eZRRMNrim9,Yellow,Green Backpack,Black Jeans,Blue Cap,Remnant1,Blue Puffer Jacket,Wooden Spear,15/01/2022 18:00:44
1757,17.99,714,13.84,https://magiceden.io/item-details/9Gt4dBmzyBEHg268sTkqjt4HvEF9J8eFyr2mVRte2tiy,Yellow,Brown Backpack,Cargos,Blue Mask,Remnant3,Black Hoodie,Red Flare,08/01/2022 19:14:29
1787,15,3328,17.17,https://magiceden.io/item-details/3j8N4itMJk1UnKZim9NsdZ3ipnZvsyUz35xygUdUcfs4,Purple,No Backpack,Cargos,Brown Hair,Remnant2,Black Trenchcoat,Blue Flare,15/01/2022 18:00:12
1907,12.19,834,70.62,https://magiceden.io/item-details/5EqBypwGaRsBsxgWgK4UhmUXubVMQrC1mxBCkDcmnzzX,Red,No Backpack,Black Cargo Shorts,SWAT Helmet,Remnant1,Grey Hoodie,Chainsaw,15/01/2022 18:00:59
1912,12.3,661,71.28,https://magiceden.io/item-details/6zeGEpq4MqUegUykVAcAD2c6p6A5MpvgMpWtjtnxEpor,Yellow,Green Backpack,Cargos,Black Balaclava,Remnant1,Black Hoodie,Grenade Launcher,15/01/2022 18:01:01
1963,17,2698,3.57,https://magiceden.io/item-details/3HMdbziEkcP8QNYYDXRVWbQYfy9zNVvEPPQF7vjJKTze,Orange,No Backpack,Black Cargo Shorts,Blue Cap,Remnant1,Raincoat,Battleaxe,15/01/2022 18:00:15
2005,13,1324,57.54,https://magiceden.io/item-details/CmpVzUzYwRfxqnpFr2xfdL44yVZRtUuopJeyMvhZtNuo,Green,No Backpack,White Cargo Shorts,White Balaclava,Remnant1,Blue Hoodie,Bloody Chainsaw,15/01/2022 17:46:24
2089,13.5,100,64.98,https://magiceden.io/item-details/6GHLsxPh3AAHBsMXNgKz7ZQVjbRoxVv4Kd97PREEs9fi,Dark Grey,Black Backpack,Black shorts yellow crocs,Pirate Hat,Remnant2,Red Shirt,Bloody Battleaxe,15/01/2022 18:00:02
2733,17,3778,0,https://magiceden.io/item-details/Ar9PAj2GN9qsmtjwxSumGeTAdfEPFwixzsYipMgzLWmu,Red,No Backpack,Black Pants,Grey Bandana,Remnant2,Yellow Shirt,Metal Spear,15/01/2022 17:46:29
2753,10.45,3726,58.62,https://magiceden.io/item-details/8EjSsY5nRzexu9aVBwhMBftxu8yfS3Eeq41nFBMGpvDa,Green,No Backpack,White Jeans,Green Helmet,Remnant1,Black Shirt,Blue Flare,15/01/2022 18:00:36
2791,17.99,863,12.33,https://magiceden.io/item-details/QFpr4CEFzyFkgwc8gHMVpztTVrCacQGgy8NdNVwZM8Y,Orange,Brown Backpack,White Cargo Shorts,Blue Beanie,Remnant1,Black Trenchcoat,Pistol,15/01/2022 18:00:25
2884,15.8,2637,16.19,https://magiceden.io/item-details/3yzNdFQifDzFgwpabwcZZi31hRsquyqsMwEfhnoTapiU,Orange,Black Backpack,White Cargos,Red Sunglasses,Remnant2,Yellow Shirt,Sword,15/01/2022 18:01:07
2915,15,2757,22.97,https://magiceden.io/item-details/EDQWrWjToKPgQLvYf6Ty6x1WQ3Aykqox3xxM7F9r72sS,Orange,No Backpack,White Pants,Blue Cap,Remnant1,Raincoat,Katana,08/01/2022 19:14:20
2965,16,1800,22.7,https://magiceden.io/item-details/Gg2MoCBDbb8idvAF3cFueXsPfY2HDUu3WFXNof2pV2Wh,Purple,Green Backpack,Cargos,Blue Sunglasses,Remnant3,Green Puffer Jacket,Torch,15/01/2022 17:46:29
2999,10.45,3759,58.29,https://magiceden.io/item-details/41nZw5BfvzVShdgMHY1Jc5UZFFAm94jjMZJgBXNPBspW,Red,No Backpack,Black Cargo Shorts,Red Beanie,Remnant2,Red Shirt,Battleaxe,15/01/2022 18:00:11
3000,12.5,696,68.93,https://magiceden.io/item-details/UrJamtVbQt4rmzaVXdMjd7TzVUkciBk33NkAySZeWDZ,Red,Brown Backpack,White Cargos,Sheriffs Hat,Remnant1,Blue Hawaiian Shirt,Green Flare,08/01/2022 18:02:03
3007,15,225,48.71,https://magiceden.io/item-details/3mvKGrva82UMHxmRn1gpTaV15FLx1KD2RB33FazhDDki,Purple,Green Backpack,Black Shorts Green Crocs,Red Beanie,Remnant3,Red Denim Jacket,Sub Machine gun,15/01/2022 18:00:14
3008,12.5,2061,55.05,https://magiceden.io/item-details/EFUW78kF6xdshEEDG3vnozuFAqs5bdrWFCcBWCfNnLCz,Orange,Black Backpack,White Cargo Shorts,Black Balaclava,Remnant1,Green Puffer Jacket,Red Flare,17/01/2022 19:40:55
