id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Eyewear,Helmet,Mouth,Skin,Teeth
1838,0.3,3139,69.87,https://magiceden.io/item-details/4j6KBfRcMfQTpSd9bzN2xjhx5bcYXGUGFVRNCmp2ULCe,Gold Earring,Purple 1,One Blue,None,Pilot,Baby Bottle,Yellow,None
1841,0.0999,3277,70.63,https://magiceden.io/item-details/7efTYoDamYwu7ZkMH3wCZS6WvyTyG2cQXAnimvefshLj,None,Yellow,One Yellow,Pixel Glasses,Glass,Pacifier,Sky,None
1871,0.14,3247,70.5,https://magiceden.io/item-details/6Dc4FWNbKf5pkKZCxxPZPuuPDXT4BqbAmDAGfNrL8WRV,Silver Earring,Peach,Green,Clear Goggle,Police,Banana Milk,Brown,None
1881,0.25,4004,62.61,https://magiceden.io/item-details/DJooEZbKEQ1FmQs9AvZaqoR3CJLUg7MMufUWHepP6iPR,None,Blue,Yellow,None,Fireman,Banana,Yellow,None
1885,0.35,1379,85.14,https://magiceden.io/item-details/4cAGT7GUSyJycVLCtNLHvR1KYCC1iUveqKf6LbFg29ms,Silver Earring,Rose,Star,None,Broken Glass,Bone,Black,Two White
1915,0.5,2330,75.12,https://magiceden.io/item-details/zVLfotQFt6dMvETqg67X7oj2AjjZabnq3o3U9hufyA5,None,Sky,Star,None,Ice Hockey,None,Cow,None
1921,0.3,677,91.93,https://magiceden.io/item-details/3oyPxsVcyanDt7JdW2xtH814QCGQppkwYYngzgByADud,Gold Earring,Rose 1,Green,Sun Glasses,Fireman,Bone,Purple Red,Two Gold
1929,0.3,3972,62.4,https://magiceden.io/item-details/DtBFFNyeMKrk3GwGfyx3HDv2YXtiDqAzhGwt4FsQ5wa2,None,Purple 1,Yellow,None,Ice Hockey,None,Red,None
1947,0.31,509,93.34,https://magiceden.io/item-details/9hn1Qw8jP8VMr1xfUATQzYnbronXdEkaWgKNHByis6gG,None,Sky 1,Red,White Sun Glasses,Police,Gold Bone,Sky,One White
1958,0.15,2967,72.91,https://magiceden.io/item-details/8xaBCUwVo47ijeTMQDWtKnu2m6WwrGYjhrnu5qvoouMR,None,Sky 1,Green,None,Police,Gum,Gold,None
1967,0.15,1638,84.82,https://magiceden.io/item-details/86hkKCaFwkzmXnennK2W7yqgSNYrMPZJfWvpKcUpNvtB,None,Lavender 1,One Yellow,Pixel Glasses,Broken Glass,Saliva,Purple Red,Three White
1974,0.4,4325,58.24,https://magiceden.io/item-details/HBjPCYd86eiKMVB6vxQ2RfqXErsRnvDQbShX21LeRWsK,Gold Earring,Peach 1,Red,Pixel Glasses,Leaf,Gum,Red,None
1990,0.25,4206,60.8,https://magiceden.io/item-details/A7v7ANuYF8ERrsVA31UysHNKCPSGC117NnnTkqYV6hm1,Silver Earring,Sky,Yellow,Pixel Glasses,Glass,Pizza,Brown,None
2016,0.4,2868,71.29,https://magiceden.io/item-details/DnR6rq1QV2jhor4kNgWRsWyLAajLwYZAZ9KE9phFh54p,Silver Earring,Yellow 1,One Red,None,Ice Hockey,None,Coffee,None
2057,0.5,2391,74.57,https://alpha.art/t/4GW5AQUzfQPvwJjVUAEDgNcYx2x3FVY5tbCTXSky7Egp,Silver Earring,Pink,One Green,None,Police,Banana,Solana,None
2059,0.5,748,89.29,https://magiceden.io/item-details/DyEWsVuFEJ4WdcVsbTrVCphhTJVmxwRBWxcw7Jd8aTVP,None,Yellow,One Blue,None,Fireman,Gold Bone,Orange Blue,Three White
