id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
6350,76,7045,0,https://magiceden.io/item-details/CSyTLaBfYd9ZQZYBndFWukLxuT74arUbSeFMFWoDSRnQ,Soft Blue,Polo,Base Eyes,No Trait,No Trait,Oni Mask,Aurory Necklace,Human,Aurorian
6373,100,3675,0,https://magiceden.io/item-details/5MYGdnheUVqYVp86rbrzCjabAMLM3U3QK2oMx9eyNx44,Soft Blue,Overalls,Cat Eyes Black,No Trait,No Trait,Grin,No Trait,Human,Aurorian
6425,72,591,0,https://magiceden.io/item-details/GxaixPrxWU7N1o1TBsdNqbttsgMtns5N2a5NYYJZpESD,Soft Blue,Base Cloth,Cat Eyes Black,Curly,Raccoon Hat,Bane Mask,Aurory Necklace,Human,Aurorian
6427,60,7292,0,https://solanart.io/nft/EashcVgdCq6fG3953a3f6oBEgWeoaQked9KXMhP22PZW,Base Background,Leather Jacket,Base Eyes,Curly,No Trait,Zipper Mask,Aurory Necklace,Human,Aurorian
6451,100,800,0,https://magiceden.io/item-details/D1DTesLLLhPoVU3kZjaSSPZGDiqSab6RG2WRMnXTU4Yn,Base Background,Jean Jacket,Green Eyes,No Trait,Plague Hat,Steampunk Mask,Solana Necklace,Human,Aurorian
6476,94.2,7220,0,https://magiceden.io/item-details/EGU5eprthHupyVjKLLdmJE84kiN6dqzyAyjdZyxwfexr,Base Background,Black Hoodie,Base Eyes,Shaved,No Trait,Plague Mask,No Trait,Human,Aurorian
6494,99,3990,0,https://magiceden.io/item-details/AxXoWCg6mecYD8L9fdD1BQXhU99xtUA9avjz7cZfPJAF,Base Background,Polo,Aave Glasses,Blob Hair,No Trait,Zipper Mask,Aurory Necklace,Human,Aurorian
6520,222,2505,0,https://magiceden.io/item-details/2xxy6VSyHYRJs27ub5UP99GNhAhDg6ZqW1FGwqauJU5u,Base Background,Classic Jacket,No Trait,No Trait,No Trait,Grin,Shark Necklace,Solana Blob,Aurorian
6531,99,3491,0,https://magiceden.io/item-details/3EEQDK96mhY49pYiYvaWmJzRLisDBsMVzoHKXNAbz2Bs,Base Background,Base Cloth,Cat Black Pupil,Brown Dreadlocks,No Trait,Big Smile,Shark Necklace,Human,Aurorian
6561,125,3626,0,https://magiceden.io/item-details/8JPMN6CrttbVhchmvJFJfkVf8NNHLExYwUEL2yTK4D1p,Base Background,Jean Jacket,Blue Skull Glasses,Shaved,No Trait,Bane Mask,No Trait,Human,Aurorian
6597,75,5294,0,https://magiceden.io/item-details/Fi5iKLKj1RFKRveUs13GT5mGgXFnZEqbBbgre6a8UNFu,Base Background,Black Hoodie,Base Eyes,Combed Haircut,Cute headphone,Base Mouth,Aurory Necklace,Human,Aurorian
6598,150,1965,0,https://magiceden.io/item-details/Cy7NvjP9TXf91vMx4VFRBjBAmYK853CGaSu6CaCT19En,Base Background,Axobubble Outfit,Green Eyes,Shaved,No Trait,Grin,No Trait,Human,Aurorian
6610,39,8970,59.1,https://magiceden.io/item-details/6aQN2QpX7b1BrUptNnt81rVbnbj736W7dTY1conzpdto,Base Background,Black T-Shirt,Base Eyes,No Trait,No Trait,Bane Mask,Aurory Necklace,Human,Aurorian
6635,62.5,3436,0,https://magiceden.io/item-details/vkvy2ijhn4VpUk6276T8K7MFbTmnSDQyndU2smVw1Er,Soft Blue,Base Cloth,Base Eyes,Playmobil,Twitter Hat,Cat Mask,Aurory Necklace,Human,Aurorian
6646,90,3093,0,https://magiceden.io/item-details/4bxzJh5fwHkwPWou7rCLsnEtAhzQKTXvoU8VmetyWkKe,Soft Blue,Classic Jacket,Viper Shades,Zero Two Hair,No Trait,Base Mouth,No Trait,Human,Aurorian
6663,66.66,6911,0,https://magiceden.io/item-details/GvL6kz3HDsUAWiyA8KnjfG6CbJquKWCtgVJQnC76MLT8,Base Background,Classy Outfit,Base Eyes,No Trait,No Trait,Oni Mask,Solana Necklace,Human,Aurorian
6674,68,8149,0,https://solanart.io/nft/HLgzg7GvKEeTAodGmkpXU2CYhscdyWAZpEfjTf5fVWJb,Base Background,Base Cloth,Base Eyes,No Trait,Phantom Cap,Oni Mask,No Trait,Human,Aurorian
6680,50,7660,0,https://magiceden.io/item-details/CEWNAdZg5vipETUYyCxcHVY23zS314RArH2qyF6Mxund,Base Background,Base Cloth,Cat Green Pupil,No Trait,Feather Hat,Base Mouth,Aurory Necklace,Human,Aurorian
6708,71,3194,0,https://magiceden.io/item-details/AMxB8Z584XJfkkxnmBGt8gHj7XC6fLBi9h1N8E3YDPVi,Base Background,No Trait,No Trait,Undercut,No Trait,Base Mouth,Shark Necklace,Solana Blob,Aurorian
6715,128,2061,0,https://magiceden.io/item-details/33kfLJzBXNQxWrN251in4qSe8au3e43isrzoiU7QTkA6,Soft Blue,Dinobit Outfit,Viper Shades,Zero Two Hair,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
6782,60,1887,0,https://solanart.io/nft/NABwrBnmchDCN1xNoMETjF9TUe68RHBHqKV2hw37RPs,Base Background,Shoulder Straps,Blue Skull Glasses,Shaved,No Trait,Grin,Shark Necklace,Human,Aurorian
6810,420,101,0,https://magiceden.io/item-details/9MFoCG8fAX8RNP6oNEpkexrjmiUqpviGSHVWTKHmREzu,Soft Blue,Open Leather Jacket,No Trait,No Trait,Beret Hat,Plague Mask,No Trait,Solana Blob,Aurorian
6864,105,766,0,https://magiceden.io/item-details/7znuxVRodgdZo7xvT3JDUzJU2uwF4SMkjinAo3hHKTU,Base Background,Jacket,Viper Shades,Purple Dreadlocks,No Trait,Cat Mask,Solana Necklace,Solana Blob,Aurorian
6912,135,2923,0,https://magiceden.io/item-details/3gAtBEJDdaPwHsSrf5dNMcwFEdY8jkA7gaZRM5UQ5Gx3,Base Background,Base Cloth,Blue Skull Glasses,Combed Haircut,Beetlefox Hat,Base Mouth,No Trait,Human,Aurorian
6952,70,2715,0,https://solanart.io/nft/DurG6NcoF5MLhuj7VWfh9oq9tCmZZdxknLhqPrxjGKQN,Base Background,Overalls,Black Eyes,Purple Dreadlocks,No Trait,Cat Mask,Shark Necklace,Human,Aurorian
6996,49.5,5857,0,https://magiceden.io/item-details/Cb2R2pSuk2Y4SXvoWYiAM22jrT3C7HAYf8ugEVZNDvYM,Base Background,Pink Stripes,Green,Brown Dreadlocks,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
7034,200,1839,0,https://magiceden.io/item-details/D9e5TStKCsPih3GYXdKxVVprgsPTdHQcwVJtPmC3pfbJ,Base Background,No Trait,No Trait,Zero Two Hair,No Trait,Base Mouth,Aurory Necklace,Zombie,Aurorian
7043,70,6607,0,https://solanart.io/nft/971TQcrFxTa8q8ammnp9fdMQF7NkV8XyDoK24wCJumTB,Base Background,Base Cloth,Blue Skull Glasses,White Hair,No Trait,Base Mouth,Flower Necklace,Human,Aurorian
