id,price,moonRank,💎 score (%),storeURL,Assist,Background,Cloth,Eyes,Games Won,Head,Kills,Mouth,Rank,Skin,Total Damage,Weapon
1564,3,2853,66.47,https://magiceden.io/item-details/CyHiiFjty1rPzVzi6dCKxhfwN7fWHd6cr2TCmmRRzw36,TBD,Cyan,Broly Gold,Cyborg Red,TBD,Blue Ivy,TBD,Normal,TBD,Normal,TBD,Angel Feather
1566,4,187,77.99,https://magiceden.io/item-details/GL9YQqCw36YudVeEnvKdpbAm5GN5UQpPzLDmjuMffPG9,TBD,Cyan,Dotted Black,Brown,TBD,Flames,TBD,Bane,TBD,Normal,TBD,Westar 34
1590,5,402,66.26,https://solanart.io/nft/2zT8vDs6DLrde5NFV6RfyZWstWTsN4Dhqwcg1ZN6d2dB,TBD,Red,Red Clinch Rifles,Disco Shades,TBD,Ponytail,TBD,Normal,TBD,green,TBD,Blue Knife
1603,2.5,1281,84.16,https://magiceden.io/item-details/2igD12kfFxUPr7axyA5PiXzv4wpBv7mAUtmCnqzCNiN2,TBD,Brown,Red Gladiator,Crimson,TBD,Formal,TBD,Sci Fi,TBD,Purple,TBD,Tentacles
1610,15,267,0,https://solanart.io/nft/yUtwiSNG4D5ZHPhdPFWYWJueVub6hQQvnAL6nMDTBGy,TBD,Red,X21 Hunter,Retro,TBD,Ponytail,TBD,Normal,TBD,green,TBD,Radium Gun
1611,6,2767,37.17,https://solanart.io/nft/8Azc3UTVd7p8kii4Xtx4Eeu6VBGsCPzYyZPHFbckAT5Z,TBD,Brown,Broly,Rounded Spec,TBD,Blue Kufi,TBD,Normal,TBD,Purple,TBD,Tentacles
1617,4.2,509,73.39,https://magiceden.io/item-details/D23PLmLRLd4YQnhujmi4LBsTNE1G8RGymvaMAZsUVHQo,TBD,Violet,Red Jacket,Sunglass V1,TBD,Red Casual,TBD,Normal,TBD,purple,TBD,Westar 34
1631,3.2,2606,66.47,https://magiceden.io/item-details/EaP3dTaQC6BgdCJpEPkRaoBSmJRAM54Vkkjr9oSbtibL,TBD,Purple,X18 Hunter,Band Blue,TBD,Blue Kufi,TBD,Normal,TBD,Red,TBD,Angel Feather
1668,2.15,4391,62.56,https://magiceden.io/item-details/k16LDUTA36SSSGxdP6gecpbdeedNqhmZYwFTkUEAUYN,TBD,Violet,Blue Luffy,Rounded Spec,TBD,Aqua,TBD,Normal,TBD,Purple,TBD,Laser Gun
1718,3,1673,76,https://magiceden.io/item-details/CfeqUYhMkqwHwz6eM9LnkVDwgcFMTptyUQi2xxji1QJu,TBD,Cyan,Dotted White,Thug Life,TBD,Japanese Casual,TBD,Normal,TBD,normal,TBD,Machine Gun
1750,3.61,2914,59.88,https://magiceden.io/item-details/AFV1LvCbEMk94vDhhnoapQ8LHXtQ5pKy8PMsqQcQTbvF,TBD,Brown,Red Jacket,Blue,TBD,Blue Beret,TBD,Normal,TBD,Purple,TBD,Radium Gun
1799,3.1,4956,48.5,https://magiceden.io/item-details/2dvxJyYKDyFYj2pRFZ7ecXmXHFDYPkPHA9wew1ewtwog,TBD,Blue,Yellow Tamba,Cyan,TBD,Red Casual,TBD,Normal,TBD,Red,TBD,Dp-28
1805,2.3,2583,75.65,https://magiceden.io/item-details/GpfMJVu8kyvC2W6ErfegAqseVRQ8K296b4W1x7mCDgGZ,TBD,Violet,Black Krish,Blue,TBD,Blue Beret,TBD,Normal,TBD,Purple,TBD,Stargaze
1866,3.25,1298,76.52,https://magiceden.io/item-details/J9ABHMiiEFgoPVTNYKPS8bBWr2R13cfQEbh7viw8KJQA,TBD,Blue,Red Riot,Green,TBD,Japanese Casual,TBD,Demon,TBD,Red,TBD,Claws
1873,2.4,1992,79.42,https://magiceden.io/item-details/51p3Mto3cB8xbCN2GZELyDopDtximruKaVeUkvm21eKB,TBD,Red,Z18 Warrior,Cyborg Green,TBD,Captain,TBD,Normal,TBD,Green,TBD,Stargaze
1894,3.5,805,78,https://magiceden.io/item-details/FmBYiBRHuBNvDtFAGwah4eR2Ub3HQrwmowuqRek6ohMS,TBD,Purple,Grey-Tee,Blue,TBD,Flames,TBD,Demon B&W,TBD,Red,TBD,Machine Gun
