id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
3281,0.25,1503,80.94,https://magiceden.io/item-details/DhqhUex46ruWfw78FSV2Vo6Csm8ndpxamNeUQjyHrmds,Teal,Heart,Grim Teal,Rain,Worried,Eyes Scribbles,Dog Teal,Bored
3282,0.365,736,89.01,https://magiceden.io/item-details/54sE6oRqBTVsV1owUH17dJc7aABNfhWgKaqKBCrxPeFY,Purple,House,Concerned Teal,Orange Halo,Excited,Cap,Dog Purple,Cheeky
3283,0.37,1089,84.71,https://magiceden.io/item-details/5Wx9XN1bZDqc2r1QPwYG1RqFoUHkUZEj47hNJCes73He,Grey,Lightning,Shy Teal,None,Panic,Eyes Scribbles,Bunny Purple,Surly
3284,0.25,1069,86.16,https://magiceden.io/item-details/33K4n7d4W8HvsJmDqBiZe3uyn5jA3DJN3GPtzvifLjtG,Orange,Heart,Shy Pink,Scribbles,Worried,Stars,Dog Pink,Bored
3285,0.27,2168,72.75,https://magiceden.io/item-details/71XUQ5dxEtUNznri77HfUiPQ7bj4nkvPZrrMFAi4njxX,Green,Lightning,Grim Teal,Pink Flair,In Love,None,Cat Pink,Hungry
3289,0.365,2249,70.83,https://magiceden.io/item-details/CWdDhYnKusxxjSeGfbR8SayDhD4z64YZ8cKZ5rJpqwMR,Teal,Heart,Friendly Purple,Scribbles,Panic,None,Dog Purple,Bored
3294,0.37,1559,79.07,https://magiceden.io/item-details/HzoBFCKGtMcCCCcNdv3teC1Wh54GYeB5Q88khUncHS6T,Grey,Leaf,Shy Teal,Rain,Happy,None,Cat Purple,Sad
3295,0.26,2774,65.57,https://magiceden.io/item-details/26Fo2H7JJnKFKJF82Xrfrfhm3PDf2uqHgVyL5GJ5X4DW,Purple,Leaf,Grim Teal,Pink Flair,Hurt,None,Cat Purple,Happy
3297,0.365,1742,76.92,https://magiceden.io/item-details/236cU1V2UiPNRDh1ssyV6cM35vJwQ2wLf1VgbYn2H7WW,Green,Lightning,Grim Teal,Rain,Happy,None,Dog Purple,Hungry
3298,0.25,1764,77.8,https://magiceden.io/item-details/GjKbkKN5nDbL65Xby2GMkCwb79XiR25UtPNbEzA2uTDz,Green,Cell,Concerned Purple,Pink Flair,Excited,Stars,Cat Pink,Happy
3299,0.29,2160,72.65,https://magiceden.io/item-details/62qS7dsuTVeiauJxVC2LUASf2tb22L73urdPcHfGrc84,Teal,Leaf,Shy Purple,None,Exhausted,None,Cat Purple,Clueless
3300,0.37,1225,83.08,https://magiceden.io/item-details/Dq7c2fPra63gwmcbswQ5Xm7X6VdwG8HmeMsuGqVPn6Qw,Grey,Heart,Concerned Teal,Scribbles,Happy,None,Bunny Purple,Joker
3301,0.2899,1131,85.01,https://magiceden.io/item-details/CTaBvLPmpEGchTHAb6ZbYrsxHHHaeJJqfL7ZCZgS3hwF,Purple,House,Shy Pink,Rain,Excited,None,Fox Purple,Cheeky
3302,0.365,1791,76.33,https://magiceden.io/item-details/CavszYFAaYSxhcqMRYRxGWctZajAYhd7unjX4xxi6Bc2,Green,Leaf,Concerned Purple,None,Excited,Stars,Dog Purple,Happy
3303,0.35,481,92.22,https://magiceden.io/item-details/Dw51YPwGVPLbzLytD3xHkSg8oELhJpvBX5E83DqUoPvL,Orange,House,Grim Pink,Scribbles,Spookyz Watery,None,Cat Pink,Cheeky
3308,0.3,1912,75.53,https://magiceden.io/item-details/9TBmchDQUo9RGU9Wsdx1egwWzKrvkU79y5PgJS2s4rie,Orange,Cell,Friendly Pink,None,Hurt,Mouth Scribbles,Cat Teal,Cheeky
3309,0.3869,1923,74.52,https://magiceden.io/item-details/FJYMwa9ghfqAe6FuNbjYc14KpY5ebAYYM5ciPh1ZeHq4,Green,Lightning,Grim Purple,None,Excited,None,Fox Pink,Bored
3310,0.3869,1063,84.86,https://magiceden.io/item-details/2ecBZWX3T2y1K53vugShonehD6VmJnUFNA7LVq2zztTh,Pink,Heart,Shy Purple,None,Exhausted,Cap,Fox Pink,Cheeky
