id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
4148,3.49,NaN,0,https://magiceden.io/item-details/CWeaxEKm9SdnGY21D111ahKTacEciWBsaSd1SywpteW6,,,,,,,,,,,,,,,,
4150,3,5184,75.67,https://magiceden.io/item-details/Ez8Qf23ABMbPcyQ8vyciaq4jgmAFm1J2XtpYEcgckkJj,,Purple Sparkles Aura,,#8ce647,,03,01,21,Purple Heels,grey,34,,Yellow Bikini Bottoms,03,human,
4188,2.85,7321,68.58,https://magiceden.io/item-details/CrgXox5ZbnF2dZD3CYAnUVtwubYkiMNqAM36ioXcdeas,,Purple Broken Glass Aura,,#ff99ef,,02,05,14,Brown Boots,blonde,04,,Brown Cargo Shorts,03,elf,
4190,2.8,8125,65.85,https://magiceden.io/item-details/FNqRQ2hYx3BHZstcFqKitaa12jScdmeMDec4LNWshkYA,,Green Sparkles Aura,,#383838,,02,20,04,Green Sneakers,grey,07,,Green Shorts,03,human,
4217,3,4019,80.35,https://magiceden.io/item-details/EvVVGtcc2rUuMKyyeTKYC6XGV3bBtUPy7rNk8weFU123,,White Stars Aura,,#9641ff,,02,04,22,Tall White Boots,black,35,,Plain White Pencil Skirt,02,elf,
4241,4.5,8064,49.09,https://alpha.art/t/HxDC7rb9xQ5mNQsL7jDxrajvwvXHFyMAbVgXj6ZLfkBT,,Orange Leaves Aura,,#85e8a9,,01,03,30,Beige Slippers,grey,36,,Long Gray Skirt,02,elf,
4271,4,3583,72.1,https://magiceden.io/item-details/5qdSmRAw3YsUNUxKm83MufVWtsrJsx5DodyxMje6867Z,,Blue Sparkles Aura,,#8ce647,,01,10,18,Tall Green Boots,red,26,,Blue Checkered Leggings,01,catfolk,01
4298,3.49,5510,69.46,https://magiceden.io/item-details/CEP2yX3ueVr4qUPnWBParkGT7ttEn8axZNqnoAePSbaw,,Starstruck Aura,,#ff8599,,03,12,08,Blue Sneakers,blonde,37,,Navy Jeans,03,lizard,03
4315,3,6623,69.89,https://magiceden.io/item-details/A1yb2Z4fJ28H3tYv9FurmPpoPoVPHM7D8w8Z1ZjF4hDM,,Orbs A Aura,,#8ce647,,01,07,31,Tall Brown Boots,red,21,,Blue Jeans,03,elf,
4378,3.5,5276,70.3,https://magiceden.io/item-details/621SFhwrqC8ASV7DFV1mqJMxjdbgyVLK1gMvt3hdXCDk,,Colorful Weed Aura,,#e2e2e2,,02,,13,Gray Slippers,grey,11,,Gray Shorts,04,lizard,02
