id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
13980,0.0275,NaN,0,https://magiceden.io/item-details/J1sKStFixrH5Ruxh556TDPd7AabFsMvvM63sgetBy3Lm,,,,,,,,,
14007,0.09,NaN,0,https://solanart.io/nft/DMc4Pqc79BdyUpsWKuuV85iQpJrRMcmgMWdPNauCxCAT,,,,,,,,,
14143,1,NaN,0,https://solanart.io/nft/3gdEn77X7jd1dnB8jpDKcEmovaAFMWLYygszgVQnwMnC,,,,,,,,,
14220,0.017,NaN,0,https://magiceden.io/item-details/6p27GB8uMUCkW4M36bNDzscKaarZbCLXZaFgmizA3atu,,,,,,,,,
14351,1.504,NaN,0,https://solanart.io/nft/GkbjgC5eneAdXH1qJL1rYfUhVFHzVnSsSJsTgzVj3qao,,,,,,,,,
15067,0.039,NaN,0,https://solanart.io/nft/9LDAzjBLYL8x4US1pwF1fJ14nupfK1epv1r4bjSR39tL,,,,,,,,,
15123,0.0275,NaN,0,https://magiceden.io/item-details/E9utFc4GXtEMSGeCiVKk4nAdU3vvmLF7RNGhgmVPKrUv,,,,,,,,,
15130,0.0275,NaN,0,https://magiceden.io/item-details/4d2v1QPftqjD54AnMUK3FKfbciaFrHfJtG4qVWgzJggw,,,,,,,,,
15218,0.019,NaN,0,https://magiceden.io/item-details/4o82LKgSdGk1CZrNgMc1Zti7TKdQuGaCxpH1buGFchvu,,,,,,,,,
15302,0.5,NaN,0,https://solanart.io/nft/5PhKg88zfSZgUFypUSpAUeKBueUmUe4KvEdtFfmACfo9,,,,,,,,,
15339,0.039,NaN,0,https://solanart.io/nft/4ZrGdinXLv8pW14pGrBDKJrJHn6hXpSMWC6AL1HBBqLZ,,,,,,,,,
15501,0.899,NaN,0,https://solanart.io/nft/CnqxyjARWz2RuHoCAz5HFSxrdJnHrAGCGqZ3r8GWaMts,,,,,,,,,
15532,0.0275,NaN,0,https://magiceden.io/item-details/VHTWd27GGXF9p6yyrkpooEscGm5KTuiKXqRtGCwJefT,,,,,,,,,
15611,0.0275,NaN,0,https://magiceden.io/item-details/GGYvuhkzZhyxtXiatq3So6hHLuCVWyJr1pTT8cbtHU6d,,,,,,,,,
15734,0.0275,NaN,0,https://magiceden.io/item-details/3tuwoEYoovZrZ7b8B4FQFpCEExvAfMuYVkdLPCDp37Kw,,,,,,,,,
16033,0.0177,NaN,0,https://magiceden.io/item-details/EKYDgWc1tkmLY4fTxvLVux17CZ9ecgaCKYDUYjg4D9dk,,,,,,,,,
16121,0.0275,NaN,0,https://magiceden.io/item-details/CG47Lk4pj93Ae9dyUjyVHScXWix7fcTzpkHCDQTSmEuc,,,,,,,,,
16457,0.25,NaN,0,https://solanart.io/nft/CkMVLHwiqFR2FARPK8sqFKjx42tirgMFXxK9nhXZb1PK,,,,,,,,,
16866,0.0275,NaN,0,https://magiceden.io/item-details/3kJ3Dk9QXeQh1YyBSwEfkLGJ4Ym1dLweuRaAfgi6N2UF,,,,,,,,,
17024,0.25,NaN,0,https://solanart.io/nft/4iuZNwcjWsiqaK1Zpd8L7ALgXGwMBT6kJZRooWzEZRSk,,,,,,,,,
17221,0.0275,NaN,0,https://magiceden.io/item-details/CyBwSgtNSzYoNrJUXWW45HiF71GJwodvbvZ6G6nRmHwU,,,,,,,,,
