id,price,moonRank,💎 score (%),storeURL,Arm,Background,Eyewear,Fur,Headwear,Mouth,Neck,Outfit
685,0.5,3944,69.41,https://magiceden.io/item-details/GpAmHfSNLHcoxtWNzhQ4hDS8e6ihp51KvKWTe9y6vqdV,,Halo Green,Rasta Sunglasses,Gray,Monopoly Hat,Surprised,,Tuxedo
733,0.8,3684,68.17,https://magiceden.io/item-details/4jXPbDyHJeFWmz4dTV5WZsiytWGkRZyzAzPm1ym4FTpQ,,Halo Zombie,Eyes Happy,Zombie,,Surprised,Red Collar,
750,33,253,0,https://alpha.art/t/7JqDEwYMyEQpSkcbx32nLZD7uARZU4UctFEdkzk9boPF,Asian Coin Purse,Halo Red,Eyes Closed,Gray,Rasta Hat,Blushing,Red Bow Tie,
783,0.3,1885,85.39,https://magiceden.io/item-details/2ddCdTnSLZuL8YxhVseR7nbHd414fbK4hknnvK49Jj5J,Cocktail,Gradient Solana,Eyes Happy,Gray,Monopoly Hat,Smiling,,Clown
786,0.7,5654,55.79,https://alpha.art/t/F1fPQPdzbPKGLLLQoc1GHjPv4aguHb7ykZBqANDUephn,Blue Balloon,Halo Orange,Wink,Rainbow,,Smiling,,
789,0.18,4778,66.94,https://magiceden.io/item-details/drSxbJKUqF4g1u5DM9pgWz82LNS3aa3wnitGLkJKEe6,,Halo Ice,Eyes Normal,Gray,Bunny Ears,Tongue Out,,The Mask
827,0.35,1733,85.93,https://magiceden.io/item-details/5nzukvHtGzTqTW1VEux4Wr7swoBstb9QCiEqfWgrCYyk,Red Yarn Ball,Halo Pink,Eyes Normal,Silver,Pirate Hat,Smiling,,Sailor
829,0.2,1628,88.14,https://magiceden.io/item-details/2FPgNed2xofzDzfGZksXMgdrbmS8ZBuJEtEgU7sCz4CT,Martini,Gradient Peach,Eyes Normal,Ginger,Rainbow Hat,Brown Mustache,,Sailor
838,0.8,671,88.64,https://magiceden.io/item-details/9ZXFxtiWrUqBhQWPA734ATrfSZ838uwkTTqrJh1Tsntc,Flower,Halo Black,Wink,Gold,Toque,Smiling,,Cheongsam
885,0.5,3000,75.82,https://alpha.art/t/H7HkWwEhREvUme165BADBpsXCRfoYpxuLKkfzwmUvCRZ,Black Wrist Band,Acid Bright,Ski Goggles,Zombie,,Smiling,,
917,0.7,181,92.97,https://magiceden.io/item-details/G3rDx4WMYB15Atunv6cu2pHb5LyWr6pxii1zydLVyKTs,Bong,Halo Black,Black Sunglasses,Silver,Box Hat,Brown Mustache,,Skitt Game Player
999,0.18,5227,63.89,https://magiceden.io/item-details/HzpmLQ3W2LMFf9ghHM3yCVH9VQ5PLvFTHQctGqkdUfLa,,Gradient Peach,Eyes Happy,Ginger,,Brown Mustache,,Box
1032,0.3,915,91.98,https://magiceden.io/item-details/5Bdv2KK9RWScpJkm3pRHvZtfh4iTd12bHA5i1ggfr2Ro,Blue Yarn Ball,Halo Emerald,Rasta Sunglasses,Red,Astronaut Helmet,Big Smile,,
1043,0.5,4271,67.19,https://magiceden.io/item-details/3fDxqGX5zRQ94XUHWZNXGfhBmsTm7KR2gBoNmBrtRhvi,Noodle Bowl,Halo Purple,Eyes Normal,White,,Tongue Out,,Astronaut
