id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
0995,8.88,8308,12.88,https://solanart.io/nft/3c25AQcGwNTvtV6HVog4fXo5R4vjd3yxzBL1nC7hkAKM,Rainbow,,Plain White Tee,Stud Silver,Angry Eyes,Pink,Clubmaster,Blue Visor,Sideways Smile Mouth,
0998,5.5,2701,69.17,https://magiceden.io/item-details/EicfT7coBGaZxWjmUGd5y8iDLse4ZCZEEnHJk3vD8JM2,Light Grey,,Hoodie Yellow,Cross Silver,Solana Eyes,Tiger,Burberry Glasses,Pirate Hat,Covid Mask Mouth,
1027,8.5,4224,33.06,https://magiceden.io/item-details/9sJt85qfU81gMvW9epxcRw31LYGyy5HvVac3EJoqq4nr,Light Grey,,Sailor Top,Cross Silver,Closed eyes,Red,3d Glasses,Pirate Hat,Bored Mouth,
1027,8.5,4224,33.06,https://solanart.io/nft/9sJt85qfU81gMvW9epxcRw31LYGyy5HvVac3EJoqq4nr,Light Grey,,Sailor Top,Cross Silver,Closed eyes,Red,3d Glasses,Pirate Hat,Bored Mouth,
1029,13.5,4195,0,https://magiceden.io/item-details/3bARBE3rQN5HhafYGaVF8U8nXcLDiUD6dQz56LhJyk18,Light Red,,Polo Red,,Bored Eyes,Blue,Clout Goggles,Turbin,Sideways Smile Mouth,
1037,10,9153,0,https://solanart.io/nft/6b1k5hYfBmoBDMhUu5xwHp3Zj1T4sFGgUHL96zeUXoih,Light Grey,,Hoodie Yellow,Ruby,Closed eyes,Black,Burberry Glasses,Coffee Hat,Smile mouth,
1066,25,5858,0,https://solanart.io/nft/e6uJgAeMajoRxyBeeMgcuPgofRvD4rQzFM1A2cUzRMZ,Orange,,Jacket All Black,Solana Silver Stud,Angry Eyes,Pink,Clubmaster,Gatsby Hat,Squigly Mouth,
1089,7,8286,31.77,https://magiceden.io/item-details/GkZ4mXVFwn8TVs6npUtg2QJwfMStofrUGpuni7r6qJWz,Light Blue,,Jacket Red White,Stud Silver,Hypnotic eyes,Brown,Clout Goggles,Cowboy Hat Brown,Angry Mouth,
1095,14.12,5375,0,https://solanart.io/nft/ECYL2zyiCvNymZpdh4UnimboomBxvHYjQ8c9TtnhtNCs,Navy,,Robe Black,Ruby,Closed eyes,Black,Burberry Glasses,Bucket Hat,Bored Mouth,
1114,40,1796,0,https://solanart.io/nft/HBAnh6bzuHQTZPYwMuumTY1MzhinwmgSpuCJMQHEuSKJ,Light Red,,Plain White Tee,,Bored Eyes,Blue,,Space Helmet,Sideways Smile Mouth,
1120,6.25,4556,54.23,https://magiceden.io/item-details/DUqFMtpUGFhAaHXMcatCWzSsrLaSken5UnnqSW5tr74t,Solana,,Robe Black,Cross Silver,Solana Eyes,Black,Burberry Glasses,Coffee Hat,Cigarette Mouth,
1152,30,2064,0,https://solanart.io/nft/7kVPkmiuJ4hJ32jXQ1VRrCSY9xLP1yR82T4DmuE8K18s,Kalahari,,Jacket Brown Tee White,Stud Silver,Hypnotic eyes,Pink,Clubmaster,Wack Donalds Hat,Squigly Mouth,
1154,6.2,4336,55.61,https://magiceden.io/item-details/A3L5Q8NWCLWhQXZCqqqoZniEgE17DaDGfE3sUvDUeEzJ,Light Blue,,Hoodie Aqua,Solana Silver Stud,Hypnotic eyes,Cheetah,Clout Goggles,Coffee Hat,Angry Mouth,
1159,9.5,1318,34.71,https://magiceden.io/item-details/2Rte56vxyLLmZJ6BioVe68sjsPNxDjE3qizAQTxa6nzR,Light Blue,,Robe Cyan,Stud Silver,Hypnotic eyes,Brown,Clout Goggles,Heisenberg Black,Angry Mouth,Degen Ape Necklace
1160,12,1921,7.29,https://solanart.io/nft/8sMzvUT4xgqvnPUUynQozp5rEeXFk1mkKhDWcbEQn3ii,Light Blue,,Robe Cyan,Stud Silver,Blue Laser Eyes,Blue,,Cowboy Hat Brown,Pizza,
1243,1250,6505,0,https://solanart.io/nft/6uu2nvw7RQtRu6ke6sHJ4LE5f6fMhkTzzyXWpqeszeUk,Light Blue,,Robe Cyan,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Beanie Blue,Bacon Strip,
1244,49,4070,0,https://solanart.io/nft/9oZmkwBbEaGhNcxPJzFHk5DS7uMetVpTcCyseYRMSR1W,Light Blue,,Tie Dye Tee,Stud Silver,Bored Eyes,Blue,Clout Goggles,Shark Fin,Angry Mouth,
