id,price,moonRank,💎 score (%),storeURL,accessories,division,extra,eyes,hair,mouth,outfit,skin
2627,1,3418,62.57,https://solanart.io/nft/Ge4RK1xgwpy8bAfhSddvZKUbpmwAtCd2r3UX9yrXB1Y8,none,industrial,none,neon red,spikey red,cyber fangs,knight,green tattoos
2651,5,2792,28.22,https://magiceden.io/item-details/FDMoMLPabBKfskVoBzrnazyTWg8gz3Mm2XhGxkm5xHkj,none,night,none,augmented shades,middle part black,smoking,tech jacket,gunmetal
2669,5,77,52.71,https://magiceden.io/item-details/BDqm1FYHeTs6x8WUAhRtYVdXmSoXb7W7cJa3v2BBvKVQ,kunai,night,black katana,sapphire blue,black long,shuriken mask,monk,scars
2697,15,153,0,https://magiceden.io/item-details/6hE71XGvCmFEcWNRjHic9S1qCGm9eiW2mmVumkYRasAt,blue neon bars,night,black katana,robotic,red slicked back,smoking,knight,toxic
2775,2.5,416,74.65,https://magiceden.io/item-details/7eMRAo35sdfp2pwbKKDCjAz4xfHNEmd1AAKJ3qEnVPwL,green neon bars,night,neon katana,neon red,black top knot,lollipop,saiba hoodie,bionic
2777,2.777,27,75.39,https://magiceden.io/item-details/4D7eB98LxpmjqPPYSjcGg7Lfmxj4QEwYGwsNK4KhUUWs,green neon bars,night,coil swords,sapphire blue,middle part black,zomie mask,saiba hoodie,ambernetic
2782,1.2,2063,72.79,https://magiceden.io/item-details/48FAo5HBZRrhHdLqr9DhCqLk5jhFyehuZezi2WwEEBZy,red neon bars,industrial,none,saiba x,red slicked back,lollipop,tech jacket,crimson
2797,0.69,3643,63.64,https://magiceden.io/item-details/AchPm8qiupzgDJ9b4HMspkfzFimVhXeXirMPL7ij8aaj,blue neon bars,night,black katana,neon red,middle part yellow,default,rider,cyan
2804,0.39,3941,63.96,https://solanart.io/nft/H2vynhEezMZh8s9HyrJH6PV3arZ1EvB7XSv4GJpzoZsY,studs,night,none,neon blue green,mohawk,default,saiba t shirt,cyan
2807,0.41,4392,59.69,https://solanart.io/nft/5NUtMd1tp3BgLvy1u4bZ2nZR6G9VqnSLQwTBRRyf6gFR,none,night,none,neon blue,spikey red,default,saiba hoodie,gunmetal
2808,3,281,70.87,https://magiceden.io/item-details/7YP9WRns6MTTha5A6Qnd4AegThm6QooxGnnWusLhdaqB,ball earings,night,coil swords,black and yellow,short black and grey,default,knight,scars
2867,1.2,424,87.58,https://magiceden.io/item-details/3opX38M8NSq65Kuvg5ffnr2PibdsNYVM6xr8tz9bpgbQ,none,portside,coil swords,candy,short blue,side grin,monk,default
2869,0.6,3199,68.55,https://magiceden.io/item-details/4x9x8rrekE5qjpFiG99mvfruLbxeajayMLmY8HJvdz8X,none,portside,none,neon blue green,short black and grey,oni mask,rider,gunmetal
2879,0.42,1374,86.81,https://magiceden.io/item-details/76z6FkokX5SpQ3UueuDVXcwgQXThJYiJdGeB7twj3Yfn,kunai,portside,neon katana,emerald green,short black and grey,cyber fangs,punk,scars
2886,1,3479,62.02,https://magiceden.io/item-details/BVAQ4GVoPf9N8rLRp8heffYWUeTUczjNpyzcqHnGHbtL,studs,night,none,neon blue,short purple fade,default,adventure,primal
2891,0.6,3389,66.83,https://solanart.io/nft/BbdkQXu2nsNp4zUaAkBfkryaANwYHQ1CNHzRexZbBFbR,none,night,neon katana,saiba x,short purple and black,default,punk,cyan
