id,price,moonRank,💎 score (%),storeURL,acc_A,acc_B,background,cap_A,cap_B,cap_C,eyewear_A,eyewear_B,eyewear_C,helmet_A,helmet_a,helmet_B,helmet_C,helmet_D,helmet_E,helmet_F,mouth_A,mouth_B,mouth_C,mouth_D,skin_A,skin_B,skin_C,skin_D,teeth_B,teeth_C,top_A,top_B,top_C,top_D
773,0.85,126,91.9,https://magiceden.io/item-details/CQmBsDZ55w2bBwZkyTW7AM328QSE2tr2daYid7Lsxd2Y,,,ginger,,fast_food,,none,,,,,,,,,broken,,,,air_ape,,black_B,,,B_white,,,fast_food,,
785,0.35,56,97.75,https://magiceden.io/item-details/5wopZaJzPnZHJWkJvHXJNZEL1DE9bdoAN9Xxd8TmoTBM,,,blue,,fast_food,,swat,,,,,,,,,broken,,,none,,warrior_A,,,,,,,fast_food,,
789,0.25,1784,77.73,https://magiceden.io/item-details/3zqgLPHYsy36cFnVmF85JfhD9JnbVkYv5YfzGYKuZaSB,gold_ear_ring,,yellow,,,,none,,,pilot,,,,,,,,,,,,,olive_C,,,C_chrome,red,,,
816,0.5,2211,70.04,https://magiceden.io/item-details/BAvfwKdfDKkPM8kYoa9KEgRi5mhZtytTt976TVC65UeR,,,blue,,,,,,,,,,,Ice_hockey,,,,,,,,,yellow_C,,,C_white,neon_blue,,,
832,0.3,674,90.73,https://magiceden.io/item-details/9GrmBCUjLeUrpuufJNR7TuQbjNtwcHjkUpn54MngTYHE,,,ginger,none,,,safety_glasses,,,,,bubble,,,,,,lollipop,,,,purple_B,,,B_Chrome,,green,,,
833,0.5,2933,61.26,https://alpha.art/t/3t81U9unSEn3Befq3NyDYMVb44qutA8cSWN9t8tbxwbQ,gold_ear_ring,,grey,,,,none,,,,,,,,drink_hat,,,,,,multicolor_A,,,,,,yellow,,,
882,0.3,1385,82.09,https://magiceden.io/item-details/9XwsCXvWYcvzQnzbUgF8Jt8Q4VB7HqNq9oG8BUmP61cc,none,,violet,,,,none,,,pickelhaube,,,,,,,,sushi,,,,Brown_B,,,B_white,,green,,,
891,0.25,1188,84.98,https://magiceden.io/item-details/5BMDVvp1ZmXZpRQgdjdxVxmwxHZA47UvZNngsjUZ1giB,,,rose,,fast_food,,none,,,,,stickerbomb,,,,,none,,,,olive_A,,,,,,,fast_food,,
897,0.4,1515,79.5,https://magiceden.io/item-details/EdCAyB3gHGTRLD1UxLER3DuUDwcCbjLxHFACv5Goc7d7,,,lime,headphone,,,none,,,,,stickerbomb,,,,,,none,,,,warrior_B,,,B_white,,red,,,
924,0.2,1197,85.37,https://magiceden.io/item-details/6ePLJnbRCBe9AyzX7gBNYqGAfURBXTLa8xw6tiGrEfkq,none,,orange,,,,none,,,viking,,,,,,,,none,,,,sky_B,,,B_combination,,neon_black,,,
940,0.5,813,87.04,https://magiceden.io/item-details/4DWhAMonzgQcA1y92UMuA3fmiNnEc9yeYXvUvpim4QdL,gold_ear_ring,,grey,,,,swat,,,,,icecream,,,,,,dollar,,,,blue_B,,,B_white,,purple,,,
