id,price,moonRank,💎 score (%),storeURL,Artist,Card Class,Character,Combat,Customer Rating,Intel,Love,Power up,Print,Rating,Signed
2080,0.24,8045,65.53,https://magiceden.io/item-details/91pYmc2XJBwpm9wBhQmHRQmhedEi2MqjqDViAQzrgfLF,Sam Rowan,Common,Iye And Spye,1,2,2,5,None,Normal,11,None
2082,0.15,7525,68.55,https://magiceden.io/item-details/GjYP4G5cH8t2K1GzV1xnb2iGR9FBnjmeNDj1kpbM1rYV,Sam Rowan,Common,Urbert Plove,1,1,4,2,None,Normal,9,None
2258,0.25,7379,68.15,https://magiceden.io/item-details/Hb8YoPaqDcimXTsVbxiVTDKfwnibtXiZvcnQGGQX7mpN,Sam Rowan,Common,Psyreenie Persitan,2,1,3,5,None,Normal,12,None
2358,0.1,4746,80.37,https://magiceden.io/item-details/Bt9euj2ck19cv7xJ2rFc9cgdyPHAZC8hrNffnsQQqyjD,Sam Rowan,Rare,Melayny Cholya,1,4,4,1,None,Normal,13,None
2393,0.25,7187,68.93,https://magiceden.io/item-details/HTmn7B4Z6JuyCWJv8QxLxEQGtEtFwCvubk5PMwFDPiGh,Sam Rowan,Common,Chinsnout Cordylyn,1,5,1,2,None,Normal,10,None
2416,0.25,7393,68.09,https://magiceden.io/item-details/6SfTXy5fLesrR4Y2VEGfJqvw8ncPots8xgMqUTRx4xXR,Sam Rowan,Common,Hermin The Creep,1,3,5,2,None,Normal,12,None
2536,0.12,4854,79.73,https://magiceden.io/item-details/77YqCPMMTM6CU8Meq4x1FzhWg3sxqWDd39XQD4mSa7Cc,Sam Rowan,Uncommon,Credibo And Gorgeon,3,3,1,5,None,Normal,14,None
2588,0.1,6894,71.62,https://magiceden.io/item-details/G93qY9d6YL31YQS9ExZBDLxP368UhqPJFpwMxqzpPjCx,Sam Rowan,Common,Gribbles,5,2,1,1,None,Normal,10,None
2679,0.2,4577,80.06,https://magiceden.io/item-details/Ha97n5FaLdpGWmK1BJvcKgYbJn74TrBi8tUCprZ1f41M,Sam Rowan,Uncommon,Hermin The Creep,4,5,1,3,None,Normal,15,None
2810,0.2,5828,74.96,https://magiceden.io/item-details/C2WwbM97h3PRkZ1kZNwxqn6PrdWFPnR9g7pTtXZAXVcC,Sam Rowan,Common,Rex Star Steveson,5,4,2,1,None,Normal,13,None
2822,0.25,6597,71.33,https://magiceden.io/item-details/4TEUwfrREEyDMcStHnZnaMmrSwyxyvgQX2UibbC7xFb5,Sam Rowan,Uncommon,Iye And Spye,2,1,3,1,None,Normal,9,None
2846,0.2,4944,78.56,https://magiceden.io/item-details/8Cu1RA5tMmsoYLyH16ndrTfDWM3aFRiUrmS1DLpzxt3q,Sam Rowan,Uncommon,Calphra Torent,3,4,4,1,None,Normal,14,None
2876,0.2,8291,64.93,https://magiceden.io/item-details/CYRECJCtydK6nhD4NtLf7UdAP7FSS1Ga7hSrcjfdRbA2,Sam Rowan,Common,Hermin The Creep,2,4,4,1,None,Normal,12,None
2999,0.2,7271,69.09,https://magiceden.io/item-details/2i6d4651gNUaY7H29NrLYKvjCT4EwYFoPDdbrFp6UJDp,Sam Rowan,Common,Credibo And Gorgeon,2,1,1,5,None,Normal,10,None
3339,0.2,8921,62.37,https://magiceden.io/item-details/AqN8fvV4jd3fWu9rXQNYXggkqKzkhUiSJcgA3YMYWXgW,Sam Rowan,Common,Urbert Plove,2,2,1,3,None,Normal,9,None
3345,0.26,8796,62.27,https://magiceden.io/item-details/2W7ZPvXRc8rax1vWfKoLjTjGFpQikm2CEEnEUjyNfdor,Sam Rowan,Common,Kodjuob,1,4,2,3,None,Normal,11,None
3471,0.25,9569,59.23,https://magiceden.io/item-details/5Dzu4E2mhg6tg4bQNHo2kS9vXbHK38hJL2fuwZAbbgor,Sam Rowan,Common,Roador Synnix Blu,3,2,3,1,None,Normal,10,None
3580,0.2,9158,61.4,https://magiceden.io/item-details/2WrJcd6QZRmZvgvVPJjButqBGVzxVBmQLJUeLTtVxxW1,Sam Rowan,Common,Tanks And LEOD,4,3,2,2,None,Normal,12,None
3726,0.25,782,95.01,https://magiceden.io/item-details/HKM95MNEKTPwJSjuvnL4TprdGi4pyfA3xw334zrb9sqL,Thomas Du Crest,Uncommon,Veduur Draestu,2,3,1,1,Grub,Normal,10,None
3756,0.25,5843,74.4,https://magiceden.io/item-details/CYxwjZjwRUF2dkN4g8EAyitHwxYmuWdX1F1Y6hhmAZ9G,Sam Rowan,Uncommon,Melayny Cholya,1,3,3,4,None,Normal,13,None
4026,0.2,6777,71.1,https://magiceden.io/item-details/5fVdwSNerC9dcfpJJjBpoxHsaEPmxDwsAL7dNzkAr2c5,Sam Rowan,Common,Cougana The Widow,3,1,2,1,None,Normal,8,None
4046,0.2222,3708,83.38,https://magiceden.io/item-details/FFdn94miq9wjyxRXFX4WWrrkwSKruPwPoGThvH55yEsf,Adam Baines,Common,Lophii And Garman,2,2,1,4,None,Normal,10,None
4094,0.2,6873,70.71,https://magiceden.io/item-details/5g5KNWDZ2FRSaPY48baJFLGijgy3ToDAXJHTPHKCejq6,Sam Rowan,Common,Melayny Cholya,5,1,1,2,None,Normal,10,None
4315,0.25,5245,76.84,https://magiceden.io/item-details/3qcmEgauCsmXMNptvuJ5cDc7j5qFfqMKYU1P5xXufjbi,Sam Rowan,Common,Credibo And Gorgeon,2,2,1,1,None,Normal,7,None
4573,0.2222,2687,87.53,https://magiceden.io/item-details/Ctrt36Dk8xT7e9V3ZSvyEfdtMFeTGnErFPENb4oZ7y9p,Thomas Du Crest,Uncommon,Veduur Draestu,1,3,3,1,None,Normal,10,None
4595,0.2,3551,84.24,https://magiceden.io/item-details/FaoTSgHSkjLVQWTHNfBmeZTaVpzUnYQdqEMmE6M61RPn,Adam Baines,Common,Lophii And Garman,2,1,4,3,None,Normal,11,None
4600,0.2,1790,91.41,https://magiceden.io/item-details/5eAb6ep79gNg6jfLiHAoSartXDpLrUmRdEA5U4nqCBEE,Thomas Du Crest,Common,Veduur Draestu,4,3,2,5,None,Normal,15,None
4678,0.2,9170,61.35,https://magiceden.io/item-details/J1c456yoBpEdAwTHpwqRRGbSVuP8varTa2F3CjptKMrw,Sam Rowan,Common,Tanks And LEOD,3,3,2,3,None,Normal,12,None
4685,0.2,8971,62.16,https://magiceden.io/item-details/A9kVhytUBPonVEDbuminpMi4uTD4iWeZjpefvS6SD6mR,Sam Rowan,Common,Cougana The Widow,1,4,3,2,None,Normal,11,None
4757,0.2,6503,72.21,https://magiceden.io/item-details/5eWfw8AcUjFhXst1P5tNnFfh3GH9ZcFArqrS2yzuhk2q,Sam Rowan,Common,Psyreenie Persitan,2,1,3,1,None,Normal,8,None
4965,0.24,5444,76.13,https://magiceden.io/item-details/FBW113JLaiyFzv4ed1H5zNmyit8rYyBUPYKvXGqLyCCM,Sam Rowan,Uncommon,Hephaesta Beaba,1,3,2,5,None,Normal,13,None
4999,0.2,6210,73.41,https://magiceden.io/item-details/2fxxTSFmizFJzox3Ecyjyawr87EQ5aHsJPk2bvJdykeQ,Sam Rowan,Uncommon,Kuishinbo,3,1,2,1,None,Normal,9,None
5040,0.2,8199,65.31,https://magiceden.io/item-details/5FP1u5yTKSaW6CPTPRDDdSi61suQ2vScdxK82JssSHw7,Sam Rowan,Common,Urbert Plove,2,5,2,1,None,Normal,11,None
5512,0.25,3014,85.92,https://magiceden.io/item-details/wnoKqpN3gj1PQSDuRMBWcmKvbgTPe2af3WxrYESDyTX,Marby Kwong,Uncommon,Nyandayo Nyan Nyanko,3,1,3,1,None,Normal,10,None
5514,0.1,6680,72.49,https://magiceden.io/item-details/E2FoYVS5Lqe3FjJRwTGkXH7nobpuxCksdpqBQHXqGY4W,Sam Rowan,Common,Calphra Torent,5,3,1,2,None,Normal,12,None
5556,0.26,8994,61.47,https://magiceden.io/item-details/C5SJLMeXWXnqfmuP7jMwunVi1rd1A67cDH1QgHiHi8zx,Sam Rowan,Common,Zendon Zezz,2,2,1,3,None,Normal,9,None
5682,0.22,9616,59.33,https://magiceden.io/item-details/DM7TefFaRqi2ednMNb8z5Spm3BCL7cqXSiDmrPr4QCjv,Sam Rowan,Common,Kysseme XO,1,3,3,2,None,Normal,10,None
5795,0.14,6228,73.93,https://magiceden.io/item-details/HWPhJccjCgLApJkffZ8eFnU1mAWUKdCuUbwNCohW9TFA,Sam Rowan,Uncommon,Zendon Zezz,1,4,1,3,None,Normal,11,None
5797,0.19,9015,62.08,https://magiceden.io/item-details/HKp3Qzj8ZFuxm6UZJ6nLeQSbRSSj1n6WDkN5KdLjTPRK,Sam Rowan,Common,Roador Synnix Blu,3,2,1,2,None,Normal,9,None
5831,0.2,7530,68.03,https://magiceden.io/item-details/H9kykhtrXNpQMPJzgZkERCoHwbFvYQTx6M9etwCw466c,Sam Rowan,Common,Melayny Cholya,1,2,4,1,None,Normal,9,None
5915,0.2222,6639,71.44,https://magiceden.io/item-details/CLgDccF2Jg8Seg8c6Aq9Lh3hQvsXTpscyLwietyhS2Qx,Sam Rowan,Uncommon,Psyreenie Persitan,3,2,1,4,None,Normal,12,None
5929,0.22,4350,80.78,https://magiceden.io/item-details/gNKPpXDSDk5rewRT6UzbjAnNu5rSoovhnWynwuoMecy,Sam Rowan,Common,Melayny Cholya,1,2,1,1,None,Normal,6,None
5956,0.12,8406,65.26,https://magiceden.io/item-details/E1zNBPcqCt7HF7ZDb9S3WDnXZzfzuFpxxNYMJNXDCf6t,Sam Rowan,Uncommon,Psyreenie Persitan,2,2,3,1,None,Normal,10,None
6020,0.2,4493,80.4,https://magiceden.io/item-details/5evzChSxAKbMF7gxqocqayb6p7NzycxacBeE2u3GNqgh,Sam Rowan,Uncommon,Jeff Squeeler,2,4,5,3,None,Normal,16,None
6088,0.22,8441,64.12,https://magiceden.io/item-details/7hRMNaBJwUWt3k1xeG9cpXQChjdZtnGPcT2mEHUFo6PH,Sam Rowan,Common,Roador Synnix Blu,5,2,2,2,None,Normal,12,None
6179,0.15,5563,76.54,https://magiceden.io/item-details/BsfghaJfmDihwjW5QJ3j8mB5xfyy9iS3JRcUSh2h6cUT,Sam Rowan,Rare,Chinsnout Cordylyn,1,1,4,2,None,Normal,11,None
6224,0.2,9117,61.57,https://magiceden.io/item-details/5ewh84hodzL4s9hMgWkxuMabP24fypdD8J961rsXAXaG,Sam Rowan,Common,Kysseme XO,2,2,1,3,None,Normal,9,None
6334,0.16,6342,73.27,https://magiceden.io/item-details/G4jntHTtGRN9ieqMH4sY136bToHBGeGKkuYKxhwriQ4W,Sam Rowan,Uncommon,Kuishinbo,4,2,2,3,None,Normal,13,None
6350,0.23,8675,63.07,https://magiceden.io/item-details/cAQ3pHBcGoEdtL9yKYb9WiKeFyMBVK7sWRoXiYSgnrQ,Sam Rowan,Common,Zendon Zezz,2,3,1,4,None,Normal,11,None
6887,0.2,9379,60.5,https://magiceden.io/item-details/A4DqjajHNGdHa4cwuEXYpgApBLQQV6ySHsgKBwN6uEnj,Sam Rowan,Common,Zendon Zezz,4,2,1,2,None,Normal,10,None
6903,0.09,5693,76.61,https://magiceden.io/item-details/CYBMgxtjcb9zt83yQvUWVr7ZAZ1mErEbzgcVriqiYY1p,Sam Rowan,Uncommon,Urbert Plove,3,4,2,3,None,Normal,14,None
6980,0.2,7088,69.83,https://magiceden.io/item-details/DFtrUG95SDYPDCePvWqvuzx9qRXkf21h8XboyhfuAmuX,Sam Rowan,Uncommon,Credibo And Gorgeon,4,1,3,2,None,Normal,12,None
7083,0.24,2644,87.53,https://magiceden.io/item-details/BZKP6MdK7SbsiE1QkL2hDDraBogGAS7fpyDDstVz8Be1,Marby Kwong,Uncommon,Nyandayo Nyan Nyanko,1,4,1,3,None,Normal,11,None
7095,0.24,8634,63.13,https://magiceden.io/item-details/CdQefJEp6ZyQbxDdcWGSk9Uihiy5u2E8JdAkjzXzZakD,Sam Rowan,Common,Credibo And Gorgeon,2,1,3,4,None,Normal,11,None
7101,0.25,6393,72.16,https://magiceden.io/item-details/C5M6REDegbrF6c2vcBAb1mWw62EyjvZpxeyb3JHU1ZFv,Sam Rowan,Common,Zendon Zezz,1,1,2,3,None,Normal,8,None
7214,0.2222,9671,59.09,https://magiceden.io/item-details/2Hf4wdipMP5YckZbMpH8pAtrv3Cr8HKdtTnTx2abi3x6,Sam Rowan,Common,Kysseme XO,2,4,3,2,None,Normal,12,None
7277,0.15,8230,65.68,https://magiceden.io/item-details/Bsgbau5XkaJ14Jo6vtpmrQS2hvpKVuPhKYfuwPMbENM1,Sam Rowan,Common,Jeff Squeeler,1,5,2,2,None,Normal,11,None
7427,0.25,7729,66.72,https://magiceden.io/item-details/FqJ7RohJJCcGr89k6sWpxZWWwWBfX53bidPEanehM1uF,Sam Rowan,Common,Hephaesta Beaba,1,2,5,2,None,Normal,11,None
7539,0.2,9773,58.9,https://magiceden.io/item-details/8MxapTgZB9xxvmKHhe9w7x2NbTyuz5GGNuVzE2r5LZ7c,Sam Rowan,Common,Kuishinbo,2,2,2,2,None,Normal,9,None
7707,0.21,7458,68.22,https://magiceden.io/item-details/9w8CouaV9ZoHPSKdhNiZgYhWYxQi7wWzN71aKgYZxiS2,Sam Rowan,Common,Doscilla And Dorvaria,2,5,3,1,None,Normal,12,None
7722,0.2,9794,58.81,https://magiceden.io/item-details/5dCc9fUowL5AGF8M7gYrRxL3qBJCzwq66wGiu2zPKAkp,Sam Rowan,Common,Psyreenie Persitan,3,2,3,2,None,Normal,11,None
7883,0.25,2921,86.3,https://magiceden.io/item-details/7LhghYkRrWs1iDo7Xs7Su7w7Qf1AMsd95MCMqRsyjtTV,Thomas Du Crest,Common,Veduur Draestu,1,4,1,2,None,Normal,9,None
8017,0.23,5370,76.53,https://magiceden.io/item-details/GHLPy3VPEnant7fBLsVkmUz4X5sAem2bVJcBDEZKAbkY,Sam Rowan,Uncommon,Doscilla And Dorvaria,1,1,3,1,None,Normal,8,None
8089,0.21,6450,72.33,https://magiceden.io/item-details/7tduyEgzKrLqtnyouii9JxGtx9kkbx1p9KsBgnThuuDb,Sam Rowan,Common,Melayny Cholya,3,1,2,1,None,Normal,8,None
8177,0.13,9487,60.76,https://magiceden.io/item-details/H6ruDnob6g2BmG2ZAVL7J6KnN7J5roHpeFXmXu8i9eCh,Sam Rowan,Common,Gribbles,2,4,1,2,None,Normal,10,None
8214,0.2,8159,65.47,https://magiceden.io/item-details/BBHXi6Mu144cja5sCQhY3oU1md2Ri9NuMKp42FXNpzM4,Sam Rowan,Uncommon,Kysseme XO,3,3,1,2,None,Normal,11,None
8264,0.09,9591,60.74,https://magiceden.io/item-details/CY5yjpcCf18vUexaoye9u2XaBTzk97HczPdUJjqoGTM5,Sam Rowan,Common,Zendon Zezz,4,3,2,2,None,Normal,12,None
8475,0.13,6607,72.49,https://magiceden.io/item-details/LC9GrDZB8GoT2gSBw562CZVLhYPt1hUSL92JQgQ5Y8p,Sam Rowan,Common,Chinsnout Cordylyn,2,3,1,1,None,Normal,8,None
8644,0.23,9717,58.82,https://magiceden.io/item-details/ADKEV2DthRTE6cocNCMeU9EcXoucocPxUCCQa9URJdJv,Sam Rowan,Common,Cougana The Widow,2,4,2,3,None,Normal,12,None
8728,0.24,6819,70.53,https://magiceden.io/item-details/3ESJF5RudaYeacBRJcHs5PSmYQdQSFTXf52bBfbTtv1d,Sam Rowan,Common,Kuishinbo,1,5,2,3,None,Normal,12,None
8798,0.22,5459,76.27,https://magiceden.io/item-details/GHZSzzsv37Kjwi8TpQkgCTKFkMvjykxS8xYWYM8JBBXk,Sam Rowan,Uncommon,Chinsnout Cordylyn,5,3,2,1,None,Normal,13,None
8906,0.24,3635,83.49,https://magiceden.io/item-details/yBCCx5DW4D9R6rDWesiCicmB35FtWo24v2sHYtgAXij,Yoan Vernet,Common,Frog Boy,1,2,3,3,None,Normal,10,None
8953,0.07,9821,60,https://magiceden.io/item-details/ArTZoXHwguybNw57TSqZgfXFDwcc2knnpxZvG4GQpNvH,Sam Rowan,Common,Zendon Zezz,2,4,2,2,None,Normal,11,None
9018,0.25,9499,59.51,https://magiceden.io/item-details/HRpUng7vdzW5sLa3AEfd7JBQBbCoBzDEUcktTcDRXbTe,Sam Rowan,Common,Iye And Spye,3,3,1,2,None,Normal,10,None
9034,0.2,5181,77.6,https://magiceden.io/item-details/F616CPkUNK3wdm7Jf9vyt16XbaNbHNXP8eRKhgYRdzWa,Sam Rowan,Common,Psyreenie Persitan,1,1,2,2,None,Normal,7,None
9202,0.25,8850,62.15,https://magiceden.io/item-details/2yrgytewcSwk8MdKiPxApQ26TLuayUNEQ7CudRh5VDVQ,Sam Rowan,Common,Hermin The Creep,1,4,3,2,None,Normal,11,None
9204,0.25,8710,62.72,https://magiceden.io/item-details/616BMXZnJaL7NPrZgxFzu9j6cDpZNWUT2TDEeKmcyv3g,Sam Rowan,Common,Zendon Zezz,1,4,3,2,None,Normal,11,None
9243,0.12,7879,67.41,https://magiceden.io/item-details/C325UkTLU4zUa7kW5hZ3xkWLFP5D1kmtRqaMtjLkM43H,Sam Rowan,Common,Rex Star Steveson,4,3,2,3,None,Normal,13,None
9301,0.24,8997,61.66,https://magiceden.io/item-details/CeyykD299dZpYFvmhpVVBfDkUkvyh7Q19RxtnuSg6RFd,Sam Rowan,Common,Kodjuob,1,2,2,3,None,Normal,9,None
9398,0.25,4006,81.88,https://magiceden.io/item-details/3Lk3rWytT7aEi3N3uYGvYDMt2PpSReqMLnmSPBj8Sjy5,Marby Kwong,Common,Nyandayo Nyan Nyanko,3,2,3,1,None,Normal,10,None
9499,0.22,9726,58.89,https://magiceden.io/item-details/GK48ZhtVnaRNaYkM63bkhMeV2bsZJQmNTTA2Qh6uCY5Y,Sam Rowan,Common,Calphra Torent,2,2,2,4,None,Normal,11,None
9562,0.25,8871,62.07,https://magiceden.io/item-details/HLSqqpWXCZ7TJTefkFiwDXE3nYg3VoQGpgfqfY5gEAtS,Sam Rowan,Common,Urbert Plove,1,3,2,2,None,Normal,9,None
9649,0.2222,9500,59.79,https://magiceden.io/item-details/AoutvHdPSnfWuqyuvtddBAA8sFJ2SUnJMUs8VppDEDhq,Sam Rowan,Common,Chinsnout Cordylyn,3,3,1,2,None,Normal,10,None
9728,0.13,3490,85.19,https://magiceden.io/item-details/FyYXYEkPNg17QLLKHUCVqTkHY7QvpsRcksCQkDH1q7mZ,Ben Kovar,Common,Exomundi,4,1,2,3,None,Normal,11,None
9730,0.13,9200,61.93,https://magiceden.io/item-details/2nCg12kJ4LEiPWikSTLsSsUBiQJ1CCPrEc9LxbGJP35y,Sam Rowan,Common,Hermin The Creep,2,1,2,3,None,Normal,9,None
9912,0.2,3877,82.91,https://magiceden.io/item-details/mFA8JRPvP2ADfYjGYDaWgiVx5AgTxyaC82zvT4dX78R,Sam Rowan,Common,Urbert Plove,2,3,1,2,Drink,Normal,10,None
