id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
4651,17.799,6273,46.79,https://magiceden.io/item-details/9Jo2VXRU9Baq3cnrXc1r1tZsaDCHpR1vZwfLU3NvkX4p,None,None,Aqua,Green - Cracked,Piercing (Left),,Bored,Sailor's Cap,Default,None,Basic Tee (Blue)
4668,19,7017,31.79,https://magiceden.io/item-details/G1e5Ypdt6Xv3JGGbQs9pKoDvNCSdaS6sXVsHo19fvrhx,None,None,Purple,Gray - Lockjaw,Piercing (Right),,Closed,Crystal,Triangular,None,Collared Shirt (Green)
4852,18.88,1017,57.11,https://magiceden.io/item-details/EwKjhg2BDHyim2uhaNmqPZaj9ERV7LrfMet8g1qEpcwJ,Divining Staff,None,Blue,Gray - Oooh,Piercing (Left),,Angry,Bandana (Tied),Default,None,Turtleneck (Green)
5298,150,553,0,https://solanart.io/nft/YnXzmATtvB54RpwkKeRmNHtVewFFCgzbnYRCf4uoMFJ,Draelic Nimbus,Soul,Blue,Green - Open-minded,None,,Sunken,Jewel,Double-Barrel,Gas Mask,Basic Tee (Blue)
5513,28,7362,0,https://solanart.io/nft/2oKnMB1tVJLcZ9uP78n1ZHjo57GpN8zGzYuEAYFeHw6H,None,None,Green,Gray - Default,None,,Closed,Bow,Mustache,None,Robe (Blue)
5634,69.690002,8497,0,https://solanart.io/nft/6W2y3s7qWZED68yShUatv3udRVoWXRzL5x3z7w7ytULH,None,None,Blue,Ice - Default,None,,Angry,Tiny Crown,Heart,None,Turtleneck (Green)
5652,35,1968,0,https://solanart.io/nft/2g8bJnnG89pe5QcZHfBDN1iY5aZyW4hceFXi3ktR1Qvv,None,Soul,Slate Gray,Blue - Side Open,None,,Glasses (Round),Beanie,Piercing (Barbell),None,Silver Armor
5851,100,5514,0,https://solanart.io/nft/58WJXXT4WZ5WtfntpcaxRVPT2soofTJFQv219iynd4HL,None,None,Pink,Red - Oooh,None,,Infernal,Beanie 2,Triangular,None,Hoodie (Blue)
5942,17,7330,50.53,https://magiceden.io/item-details/BiuMQ4jXLAQ2dXYrLavrJW5dSUwv6NyyJ8DMTGWwc2f6,None,None,Blue,Yellow - Gold Tooth,None,,Angry,Princess Circlet,Triangular,None,Bowtie
6446,19.608999,3556,39.61,https://solanart.io/nft/EuhsVUe46CtvDyRogJRYiMs1VrfCNAx4Eidng8sBCj4c,None,None,Blue,White - Open,Piercing (Double),,Angry,Officer's Cap,Piercing (Barbell),None,Overalls
6551,18,6596,43.48,https://magiceden.io/item-details/CvrSk3RT3qKZKQFH7cUUx37EpMTKxkBfX9JvDePqsZrt,None,None,Blue,Green - Default,None,,Button Eye,Ballcap (Night),Narrow,None,Blade Runner Jacket
6580,18,4713,51.05,https://magiceden.io/item-details/8brhSaXgWCuzLFcsUE7Kmg4EX4ScHybKo5EwHwv2yoYU,None,None,Aqua,White - Fangs,Sigils,,Bored,Ballcap (Night),Heart,None,Collared Shirt (Green)
6685,16.3,4532,68.78,https://magiceden.io/item-details/A2t9NK1EFkPf9SKoMW853hwLYZwTnmSNLg42xkbgi9Uj,Herald's Halo,None,Slate Gray,Yellow - Toothy,None,,Bored,Dad Hat,Triangular,None,Tutrleneck (Black)
6757,16.2,4250,70.91,https://magiceden.io/item-details/ugzGnZTbWtXVjFPruX5MU5w2hcTMUpkEv9wCGz196fJ,None,None,Blue,Red - Sewn,Freckles,,Eyepatch,Fez,Heart,None,Collared Shirt (Green)
