id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
5087,5.5,3417,40.27,https://magiceden.io/item-details/G7KCvRkYm6t1iKjT53VfjhZoCbFiLSmDMA3QZeA4DyGH,None,Black,None,None,Normal,Peace Helmet (Pink),None,None,Puffer Jacket (Rave Print),Orange,None
5106,4,3641,53.64,https://magiceden.io/item-details/Hmyn41R2SzkP6rEHBcnKQebcferqJj2mMLrWPDKNkJiu,None,White,Feather (Colors),None,None,Beanie (Orange),None,None,T-Shirt (Red),Black,None
5109,6,2036,45.26,https://magiceden.io/item-details/Dkr4KVo4CU1DGqjBMMZkm35BkXe37T5vw1Hgdu3SfsKy,None,White,Big Hoops (Double | Gold),Angel Wings (White),Small Round (Black | Silver),None,Small,None,Puffer Jacket (Rave Print),Concrete,None
5110,3.33,3409,62.02,https://magiceden.io/item-details/4rHgrTqJMccMYBZXxFeyWPdMviv3bH2MYG91o5PyphdY,None,White,None,None,None,Visor Cap (Cream),None,None,Denim Jacket (Light Grey),Mint Gem Stone,None
5125,3.49,1484,74.36,https://magiceden.io/item-details/GKDYW6xNvERLjoX8ifsvvzQ1W6qNWkxoX8ejJoVopjgj,None,Pink,Diamond Hoops (Double | Silver),None,Vintage Rimless (Mint),None,Small,None,T-Shirt Pink,Grey,Cross
5132,4.2,5526,38,https://magiceden.io/item-details/6yGMPD4PUdm3VKh87rcm44oKTgrkHWN94eYSu6c6EkZU,None,Blue,None,None,Happy,None,Small,None,Oversized T-Shirt (Black),Black,None
5146,3.5,1025,77.58,https://magiceden.io/item-details/5HpBZ3u3AYXVx1QmY5WqzkR52WVbFAwzZVR6GwmB6aXh,None,Black,Feather (Colors),None,Small Round (Black | Rose Gold),Oversized Beanie (Red),None,None,Leather Jacket (Orange),Rose Gold,None
5154,2.47,3530,69.75,https://magiceden.io/item-details/Gknotudear1rxhW61QxUiM7SLBM5yXzQDLZbG4ENFHgC,None,Cream,None,None,Retro Half Frame (Blue),Oversized Beanie (Red),None,None,T-Shirt with Oversized Jersey (Cream),Grey,None
5169,2.5,2891,74.07,https://magiceden.io/item-details/7aPjhtxXeY71LZcrjE58Aww5AqayU6kMNCbBusY87mND,None,Cream,None,Feather Wings (Silver),Happy,Dad Hat (Mint),None,None,Hoodie (Mint Drip Metal Print),Black,None
5170,3.49,1497,74.26,https://magiceden.io/item-details/eAkYfARGYoFfzU7kDXzhYU9oTTFV2LX4wffH8GPw281,None,Cream,Big Hoops (Double | Gold),Feather Wings (Red),Normal,None,Small,None,Puffer Jacket (Yellow),Orange,Pain
5184,2.5,3295,71.15,https://magiceden.io/item-details/876txBsKLgXzPFR5PLNS9R1rBvVcYAmPJmraVas4XGaj,None,Mint,Cross (Silver),None,None,Snapback Backwards (Orange),None,None,Hoodie (White Drip Metal Print),Black,None
5188,5.87,2969,39.81,https://magiceden.io/item-details/HKhn9gQgUhFFUTWnxqFJUQChidcpiKWMY6ArTZCtz4Ck,None,Black,Feather (Silver),None,None,Oversized Beanie (Cream),None,None,Polo Shirt (Black | Red),White,Pain
5200,3.3,3279,63.26,https://magiceden.io/item-details/2ZPUtZeNeJV35rP2isQ4aMkzUbQVKHUdtsL2GeVMJPBu,None,Blue,None,None,Aviator (Silver),None,Big,None,T-Shirt with Pullover (Blue),Red,None
5224,5,258,68.13,https://magiceden.io/item-details/CrRTnXJanJ75Dn8qe9whSdxKEKUAsypkA4UM8it6DHN1,None,Cream,Big Hoops (Single | Silver),Feather Wings (Black),Vintage Rimless (Purple),None,Big,Oversized Hoodie Necklace Chain (Skull),Hoodie (Cream),Orange,None
5227,4.25,509,73.82,https://magiceden.io/item-details/4WMjwydN4LTeYFCEVK18fsHhpCH8pJKP8AE95G3zZdbC,None,White,Top Hoops (Single | Rose Gold),None,Square Allover (Black),None,Big,Oversized Hoodie Necklace Chain (Skull),Hoodie (White),Black,Pain
5229,4,3444,55.07,https://magiceden.io/item-details/DG7UpqXM9ivEDvCMKwnbBPTgHfStdvBYBQgkXtsMpgPA,None,Orange,Safety Pin (Gold),None,Ski Goggles (Black | Gold),None,Small,None,Puffer Jacket (Yellow),White,None
5234,3.49,3525,59.58,https://magiceden.io/item-details/GGRVztzcspXcpzKCBENpzYLPDX8HyskS3x7tCp1v7FkU,None,Mint,Top Hoops (Double | Silver),None,Normal,Oversized Beanie (Orange),None,None,Puffer Jacket (Blue),White,None
5291,3.5,3964,56.31,https://magiceden.io/item-details/24ARK5As8EQJnDdeZYy8eoKN2mEusnrUbPE228aZrNsQ,None,Cream,None,None,Shutters (Gold),None,Curved,None,Oversized T-Shirt (Black),Orange,None
5292,4.1,1023,71.6,https://magiceden.io/item-details/EKEFSivBakbyh6xUhsUEUAqtujZrE62ffv2ktep9zwNj,None,Black,Big Hoops (Double | Rose Gold),None,Small Round (Black | Rose Gold),Oversized Beanie (Cream),None,None,Lumberjack Shirt (Black),Gold,Pain
5306,4.3,2005,62.49,https://magiceden.io/item-details/4DedAJNMnja72QW23gSvNBdHnHtPAxa5T9Xvqsnx9Edd,None,Orange,Big Hoops (Single | Gold),None,Happy,Fur Hat (Black),None,None,College Jacket (Blue),Grey,None
5307,4.5,1831,61.75,https://magiceden.io/item-details/FgwLoGcCG71NkQ1QRpybnJYmeWC64nsTFWGdHf7awJob,None,Black,None,None,X,None,Big,Oversized Hoodie Necklace Chain (Silver),Hoodie (Grey Drip Lightning Print),Mint,Pain
5309,5.4,1902,52.23,https://magiceden.io/item-details/FtcppsdKrHHDG1R2i9EYgZ9kgmv3xAyDoMSjoKj2w775,None,Mint,None,None,Beachrunner (Clear),None,Big,T-Shirt Necklace VIP Lanyard (Grey),T-Shirt (Grey | Hype Print),Purple,None
5327,5,4586,36.8,https://solanart.io/nft/9avouojSF8abf4SkrEZa7yF4mBJBLZ6zo9Z2KQvMhkE4,One Arm Backpack (Orange),White,None,None,Happy,None,Small,None,Oversized T-Shirt (Yellow),Black,None
5339,4,1890,66.32,https://magiceden.io/item-details/56sfMhyHWJmJYz3ojzrYvHFcXRzugkLAvgZt1wcbw7EM,None,Mint,Top Hoops (Single | Gold),None,None,Oversized Beanie (Cream),None,None,Lumberjack Shirt (Yellow),Black,Cross
5350,4.44,1123,67.47,https://magiceden.io/item-details/DdCjta5PZUCS14ZaqZMAb8t8KBv7uQKW9Kxr17V8iNX3,None,White,Skull (Black),None,Heart (Black | Gold),Oversized Beanie (Purple),None,None,Denim Jacket (Blue),Mint,None
5356,4.95,474,67.07,https://magiceden.io/item-details/BmK2iK9zFRBZ1bxSxo4qSSVZk7f1b5rqeXWnLUuiFL9c,None,Black,Diamond Hoops (Single | Rose Gold),Dragon Wings (White),Small Round (Black | Rose Gold),Five Panel Cap (Orange),None,None,Lumberjack Shirt (Yellow),Mint,None
5358,3.5,937,78.22,https://magiceden.io/item-details/5cqGX786J8PigYovivDwgkeNq1sWTG8H6ZeMRspvcFZu,One Arm Backpack (Gold),Red,Lock (Gold),None,Normal,None,Curved,None,Hoodie (White),Grey,None
5367,4,2236,63.81,https://magiceden.io/item-details/C2xxYRVBCSFKD2qpCqxKLhY4s1YhHyfwdD3mcK62tNLq,None,White,None,None,Square Frame (White | Gold),Dad Hat (Purple),None,None,Denim Jacket (Pink),Pink,None
5369,3,3109,67.5,https://magiceden.io/item-details/CxVuJvBniG8GmYUoXJU231V3FBTuwweyMbBzJ32cZ6Ub,None,Mint,Diamond Hoops (Double | Gold),None,Swirl,None,Curved,None,Hoodie (Grey Drip Lightning Print),Grey,None
5373,3.4,4834,51.01,https://magiceden.io/item-details/DUn13qw5VsVfZcbbmEay75UZHeLDb5q34PcEnV1xuuAY,None,White,Diamond Hoops (Single | Rose Gold),None,Happy,None,Big,None,T-Shirt (Blue),Orange,None
5391,4,2385,62.74,https://solanart.io/nft/T2kPoiDVpNRKJqGJPttxaC6CccU9oAdwz5iR9vscxe6,None,Blue,Big Hoops (Single | Rose Gold),None,Square Allover (Gold),None,Big,None,T-Shirt with Pullover (Yellow),White,None
5394,2.7,3677,66.38,https://magiceden.io/item-details/5WYSo6RnG1HKyNPgwFsWFAsRDdWhBmodPsu3qPckc29x,None,Black,Big Hoops (Single | Gold),None,None,Five Panel Cap (Yellow),None,None,Hoodie (Mint Drip Metal Print),Blue,None
5416,5,5329,31.43,https://magiceden.io/item-details/E9HvGY2ZS9ZWaN473j3ABmxL8FjB4LRMupPqLywLJMrY,None,Orange,None,None,Happy,None,Small,None,Hoodie (Grey Drip Lightning Print),Blue,None
5433,5,3983,41.17,https://magiceden.io/item-details/8j3TY2pi8Ld48g3g6RyqPaEAeJF3gaxM7FX6ngSgb9qv,None,Mint,None,None,X,Snapback Backwards (Black),None,None,Windbreaker (Camo Grey),Black,None
5447,5.55,2675,45.14,https://magiceden.io/item-details/6pkFNV9ECPWKgvLuPC3SLGq42RmeEt7tkCDVSgnVuc8d,None,Black,Big Hoops (Double | Silver),None,Small Round (Black | Grey),None,Small,None,Puffer Jacket with Fur (Red),Blue Rubber,Pain
5449,5.4,1277,56.76,https://magiceden.io/item-details/F6Lp3QHyUwYSi9ZivjCYCfhPmJL9RRWtFZb6XV2a3vae,None,Orange,Feather (Silver),Angel Wings (Black),Happy,Oversized Beanie (Pink),None,None,Puffer Jacket (Purple),Grey,None
