id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
1714,0.99,2619,63.54,https://magiceden.io/item-details/E1CxxjScYoAv8YxzBcR4AtrAkENffTMfr2du28x5VNDc,Minis,White,Breach,Red,Grid,Slim,Steel,Dish,Black
1734,1.5,1175,75.84,https://magiceden.io/item-details/6ekX6ZEjqbYBs9X22wzMVYN4GzgVgZZnW8dPisBAErEG,Sector,Sunburst,Issue,Green,Facet,Aero,Steel,Intake,Black
1750,1,3034,58.43,https://magiceden.io/item-details/8gkMRrScd81GSeg1URy9cokbHMPHCFKA32Z8CU4n2Tz3,Zippy,Black,Issue,Steel,Facet,Slim,Steel,Extensions,Black
1769,1.5,2400,61.08,https://magiceden.io/item-details/JBXZ7SifXidgamEn7wCPUM6JEiSjCR5WjQ36gmdcUcHK,Zippy,White,Heat Sink,Black,Steel Insignia,Hydro,Steel,Fins,Black
1774,1.28,1442,74.82,https://magiceden.io/item-details/GjrrP6qnZhgYP5xDhtSibgd7bLhCSzNJhPrM4eGJXz23,Volt Pack,Teal,Scout,Blue,Vent Pack,Flattop,Copper,Intake,Black
1789,1,3312,55.08,https://magiceden.io/item-details/iZpBvVEjTWvQhcZnawFjFEkNNYp9nvE83tjnkWAnJM9,Staff,Blue,Heat Sink,Yellow,Vent Pack,Entry,Steel,None,Black
1794,0.65,2272,71.12,https://magiceden.io/item-details/BdNZQHQLx5iHh7JoHGGWgbFq7MeNgcWzfVgws7V7kwo4,Staff,Blue,Scout,Magenta,Vent Pack,Obliterator,Steel,None,Black
1932,0.89,2532,65.58,https://magiceden.io/item-details/3bxZUD4RodGhatvir36fVNh8eGkMoEKAB3Jh3STS8Xrm,Zippy,Plum,CryoTank,Blue,Facet,Swivel,Steel,Extensions,Black
1962,1.3,2377,63.35,https://magiceden.io/item-details/8iHeeDtwYqvptce24vhKZfUdeWkDZzcWgqkD5PK3j263,Staff,Red,Issue,White,Copper Insignia,Entry,Copper,Duel Antennas,Black
1967,1.3,1366,75.54,https://magiceden.io/item-details/3iv3scgQuxCqE5PwnJNrVLFvEShzspsN6eGQy4xKubrx,Staff,White,Issue,Orange,Pump,OctoView,Copper,Fins,Black
2106,1.5,1654,70.07,https://magiceden.io/item-details/2cXLvxyttzvofRdZiL3g1bEuttG7Wax5bkNEiXuQma4Y,Staff,Orange,Breach,Copper,Facet,Atomic,Steel,Cryo Bulbs,Black
2149,1.2,1342,76.83,https://magiceden.io/item-details/Gj8sTpZC9ps78qtVGDuV4gBqwTzZKz2UGnbZdDnNH3YQ,Staff,Sage,Ventilator,Yellow,Vent Pack,Bobber,Steel,Copper Insignia,Black
2152,1,2315,67.1,https://magiceden.io/item-details/DoEjFiDQpeqQamxvTy4LAggpSurHFSwpbkDWW9ftuZxu,Drip,Plum,Scout,Yellow,Jolt Pack,Slim,Steel,Copper Insignia,Black
2179,1.35,1241,76.54,https://magiceden.io/item-details/3ADWGWZZT1sn9p5jnaWJfbkeJ3cHgY6q7pb3HiDSSz6f,Sector,Blue,CryoTank,Green,Copper Insignia,Flattop,Copper,Intake,Black
2193,1.2,2933,57.65,https://magiceden.io/item-details/5MeQRwsfcvBTu3WTmEDeyh3ScjVforLpJhZ1CzyvcU85,Sector,Black,Vector,Orange,Facet,Boxy,Steel,None,Black
2204,1.5,1717,69.31,https://magiceden.io/item-details/HpyvKrQ1Soh4XPgDCzNktsDnf5N9MAjFb6tR8xhKsPC1,Zippy,Blue,Heat Sink,Gold,Pump,Boxy,Steel,Cryo Bulbs,Black
2269,1.2,1152,79.12,https://magiceden.io/item-details/3DvjyLpQkRkWYoKqAuXmqY36gwD22GLKTXR4qBgyrLhW,Minis,Blue,Workforce,Magenta,Copper Insignia,Aero,Gold,Fins,Black
2290,1.49,2861,55.62,https://magiceden.io/item-details/Fp5fvL5WbPDYzQkPmGhQ6cbLui4FLzBgnzQ3PYatgQkU,None,Orange,Heat Sink,Black,None,Aero,Copper,Fins,Black
2326,0.7,2715,65.28,https://magiceden.io/item-details/HuAMwQ1eAeeji3qc3B27mibTtXai54cB91M2Zqhyk7ZA,Sector,Plum,Issue,White,Pump,Boxy,Steel,Copper Insignia,Black
2399,1.2,2134,67.28,https://magiceden.io/item-details/7RNsfFFCWoneKnDzRD7a92naZfSq4Bfbhoi3bvBc9VbP,Drip,Black,CryoTank,Yellow,Facet,Hydro,Copper,Duel Antennas,Black
2453,0.979,760,86.05,https://magiceden.io/item-details/7N9t6hkiDEuBBUwSpvzgfSRyyEnzj1Gdq6SURfYK1kXo,None,Teal,Issue,Rose Gold,None,Atomic,Copper,Steel Insignia,Black
2503,1,2490,64.99,https://magiceden.io/item-details/8gRH6FcK9nVYZJemzYDGpt8wfNx1HQYtLpRyMXm7Fjy3,Volt Pack,Black,Quadrid,Black,CoreBoost,Flattop,Steel,Duel Antennas,Black
2506,1,1559,76.21,https://magiceden.io/item-details/5amf7LQPudHtyfaKTYaLypND1W3SxX4u2ZgD5zrqzRxw,Detainer Clamps,Black,Scout,Teal,Facet,Swivel,Steel,Extensions,Black
2562,1,2065,70.11,https://magiceden.io/item-details/ExhUucNP3guAAvxk2qAkjcXFkw9boy4LyC8ApcUWHtMn,Staff,Black,Heat Sink,Steel,None,Cyclops,Steel,Intake,Black
2566,1.5,1831,67.93,https://magiceden.io/item-details/4gqwmGsYjQUTckbSprarMatzwq1SyxL83W9cTjf4RuTj,Drip,White,Vector,Teal,Vent Pack,Spirit,Steel,Extensions,Black
2574,1.1,3224,55.14,https://magiceden.io/item-details/EJRRmhCfrpRWtAb7dDHbWN22Zrm32tNEh4uDTh4QvZAE,Minis,White,Heat Sink,Black,Filter,Atomic,Steel,Fins,Black
