id,price,moonRank,💎 score (%),storeURL
3141,0.11,1124,90.31,https://magiceden.io/item-details/Fa3w5xqNZrXdmvJNijJBZJiN8ZGs9jMxrprRcs865J5r
3143,0.37,4222,61.42,https://magiceden.io/item-details/DKRLwvEHDB9MDTYbzSDyWBo9zkvP2fuFe2wRfGC1sGck
3148,0.5,3743,64.19,https://magiceden.io/item-details/Fgr9G9nq3bCoczELHdiZkNfbLbbohBAdvqHnThv4FXG8
3154,0.11,2593,77.85,https://magiceden.io/item-details/ACNkAsERvTN1DSwmCeehP2VDYqDJj8mL6nqN71Abfuma
3164,0.11,2360,79.82,https://magiceden.io/item-details/62Y4NaJxM5sw5T5cKktWTWAQVHumG1JEiDUcH8wuWdCy
3190,0.4,2746,73.65,https://magiceden.io/item-details/5VvxkwkCsbMy8AC2NifJ34oYHfHFzPd2k73C7gchyP2x
3277,0.33,3988,63.81,https://magiceden.io/item-details/AuhrMhsuyFVWhBrJQCmb6hqFnirW41AVy4LcTLnn1tZx
3307,0.4,3907,63.8,https://magiceden.io/item-details/EaxuQ3dvW4c58CfkceDYvTgebPjr6A5ijLLpqXhZ7gG3
3336,0.23,NaN,0,https://magiceden.io/item-details/9mTCn1AurdWcfhNMTRJv4L9uzUYcMp6NuT8xb3H9k4W
3381,0.2,2648,76.48,https://magiceden.io/item-details/7yNoY4pVKTEYeH8NNMwTyC4bdjf4X2J6sjJWBDG9Esth
3482,0.2,2698,76.06,https://magiceden.io/item-details/EVmA15czBXGVGcSEp1Z3ZUPVNk5Hvr1thi6PLQ3aQLWf
3490,0.145,221,97.62,https://magiceden.io/item-details/5Y9CK2T1ZJfM5JNC6yga5YDiyvMbFbqZnUTFTGeRTyUq
3492,0.4,3330,68.69,https://magiceden.io/item-details/HJxK1bxNbmWxuarGPAMATAramMUkAbEnKkd2k4pvsQ4z
3505,0.14,1201,89.36,https://magiceden.io/item-details/9UVAC5nYnjQhDFNJdwgvN72fb84TNXn4PdmDpikNRyMX
3541,0.34,4132,62.49,https://magiceden.io/item-details/BMQCtqS3QDwUmhGMFJwcjYxMDbAwYCJBVE92RV6hXtCf
3600,0.25,NaN,0,https://magiceden.io/item-details/EACPn6Jni3RMMx3nBxQjAaNkXzSDKR8kvRJb5waRAfAU
3651,0.37,4265,61.06,https://magiceden.io/item-details/fLxZHnDmGfcCpHtvR7U5LjZp9fxPqDVKexDqcNCtJVn
3663,0.48,3035,70.4,https://magiceden.io/item-details/Kyzy8CHJzKzyXnmCYKXoXCbXbSA4z2ki6arZTshCNQt
3701,0.2,247,96.85,https://magiceden.io/item-details/6RhUytrhuyUMBSG4SVEbnThJv51hTnuydn4VmvwQfTt2
3710,0.18,1883,83.17,https://magiceden.io/item-details/9cgjKfV4BECPK5u49qr4DGWKXBE64SyRhBfHCEH7571v
3764,0.1,383,96.7,https://magiceden.io/item-details/9tASctHkojc5yp3f7uKWMYQw4t4RiC2AyW7gmjKhBq9P
3789,0.5,2273,76.66,https://magiceden.io/item-details/EqcGBJPowAXgQkj6LELGt3bEE2Em5fK3yyY6qhSNtyD1
3952,0.1,4320,63.29,https://magiceden.io/item-details/HZbL4Y2yE9N6WGpyoqh6R1CnBDksLFTDKjscQp5U7URb
3953,0.1,4631,60.65,https://magiceden.io/item-details/31DiVkZJzPVMTLyR2p5tmmuQL51YDyRLtgqAMEajoSkv
3955,0.25,3804,66.17,https://magiceden.io/item-details/6VUz8PVPUMx13PWLmnnYEro51c3h66CQGodfL3jPjXFL
4009,0.48,NaN,0,https://magiceden.io/item-details/8u175ru33D5c3jttMFX3TjevDGpDTF8gKhoPQyTFRAKY
4865,0.5,NaN,0,https://magiceden.io/item-details/AyWsq77rszWMmzDsUDVqYnE18o5mFms91ygVX1E15U2J
