id,price,moonRank,💎 score (%),storeURL,BACKGROUND,BODY,EXALTED_STAT,FUR,GLASSES,HEAD,IDEA_CREDIT,MOUTH,❤️
4735,9.7,8619,35.55,https://solanart.io/nft/Awf7TuZrwXHNFqyr8Eevm8kR15zLR853PUjgVzY3nRT7,Yellow,Denim Vest,,Scarred Brown - Smirk,No Traits,Pandos,,Rat Tail - Smirk,2
4737,6.69,12807,53.82,https://magiceden.io/item-details/58mTp9jFi5KGfyKV8oeH5L4zRBX7dndjkvN6BLFEi9zK,Yellow,T-Shirt,,Brown - Grin,No Traits,No Traits,,Lollipop - Grin,2
4810,100,2764,0,https://solanart.io/nft/558vPheiCeZNjae12SRNzWvdPpq5WSZRvBvA3WkgvsEz,Green,Spacesuit,,Scarred Green - Smirk,Designer Glasses,No Traits,,Rat Tail - Smirk,2
4845,90,3429,0,https://solanart.io/nft/BSJb8HLAmMrtpTPirSyJuamdvseNbJNPFLKCvuGmxvsT,Red,Overalls,,Red - Smirk,No Traits,Colander,,War Medal - Smirk,6
4871,9.7,8228,36.66,https://magiceden.io/item-details/5VWxF7iGfiNCgT93KVUJ1Es4bpM2ihJkXpoeG8ELkm9b,Green,No Traits,,Green - Smirk,Reading Glasses,Pandos,,Burnt Spoon - Smirk,2
4871,9.7,8228,36.66,https://solanart.io/nft/5VWxF7iGfiNCgT93KVUJ1Es4bpM2ihJkXpoeG8ELkm9b,Green,No Traits,,Green - Smirk,Reading Glasses,Pandos,,Burnt Spoon - Smirk,2
4882,8.99,4131,55.33,https://magiceden.io/item-details/AJi6GWXwbuq9tXnMJ7rHt8qbs8wiL4J4NRneGJ5U5VL2,Yellow,No Traits,,Scarred Brown - Smirk,Designer Glasses,Paint Can,,War Medal - Smirk,2
4885,11.4,2055,37.09,https://solanart.io/nft/FjNfY5CBAQgSvipVH2Z7jgy9tZRTbT4qSkcVikVHr71u,Yellow,Knitted Vest,,Brown - Grin,Swimming Goggles,Takeout,,Bone - Grin,2
4943,14.2,2232,8.59,https://solanart.io/nft/6kSNmnfGAeuqSBnDpTh7y98RScpiCb6yK2xyUVGTUEXZ,Red,Mummy,,Scarred Red - Smirk,Reading Glasses,Beret,,Rat Tail - Smirk,2
4970,18,8795,0,https://solanart.io/nft/3ctLdqPEeAYsNCYXdehQgjvajYBZznTuWooxmfAs1v8N,Red,Overalls,,Brown - Grin,Designer Glasses,Degen Service Hat,,No Traits,4
4978,7.4,12213,48.4,https://solanart.io/nft/8mFmDD5oqtkPJiZK35kFTQbp3CbzKxBJ3GYXZkiowzUd,Red,Singlet,,Scarred Red - Grin,No Traits,Plunger,,No Traits,2
5009,16,4655,0,https://solanart.io/nft/4vf3mnA7Cs76tV9xzDsBa14WptdQBZZT2QPsh5dZCX94,Red,Rain Jacket,,Scarred Red - Smirk,No Traits,Colander,,Rat Tail - Smirk,2
